"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"9913","Myanmar",49955,20.7904,94.4353,0.293131239375853,2.8274808174768,2.0248205204181,3.59228781595213,2.23757342070395,49955
"9919","Brazil",49963,-14.7378,-48.3968,0.0654974591076431,2.90882796588998,1.73182591988526,5.98977763964001,3.58078294659351,49963
"9921","Indonesia",49965,-3.14718,139.351,0.459915767010283,3.00122274604809,1.45460365003454,4.0484418035504,2.91077933629609,49965
"9923","Indonesia",49969,-3.04086,112.392,0.463892984060918,3.01970835371655,1.95702629338195,4.0484418035504,2.91077933629609,49969
"9925","Benin",49971,6.78286,1.90886,0.233839241940159,2.86467173632294,1.25194311561445,0,2.71242068625386,49971
"9930","China",49977,35.826,88.1471,0.0538943734622264,2.23164856774387,0.225291800504127,6.95136909386879,2.99627669770714,49977
"9934","Argentina",49980,-29.733,-56.4816,0.0876652881196116,2.9897966527937,1.55488823084195,5.78923793550226,3.80950249718057,49980
"9935","China",49981,34.3494,106.113,0.532482422840288,2.75197981179995,2.06787551540679,6.95136909386879,2.99627669770714,49981
"9936","Comoros",49982,-11.8284,43.3849,0.219060330875331,3.00728536536631,0.259533551718179,0.903089986991944,2.86928045457961,49982
"9938","Mozambique",49984,-17.3436,32.4516,0.213886826675093,2.77020745276769,1.63561620382246,2.72916478969277,2.50009459561958,49984
"9947","India",49996,22.4701,92.6387,0.305408616006062,2.92188766315118,2.02054006576755,5.50520154772776,2.65874601931954,49996
"9950","Afghanistan",49999,35.826,61.1977,0.208748388679527,2.09026225297259,1.18812535093029,0,2.26964184190232,49999
"9954","South Africa",50004,-32.0567,20.7735,0.462267411825455,2.1116604986138,1.17073919113228,5.25389021628127,3.49225402986176,50004
"9963","Mozambique",50014,-24.0832,35.0533,0.125959797156362,2.81857540744793,0.780808048552232,2.72916478969277,2.50009459561958,50014
"9965","Thailand",50016,16.5103,99.8252,0.397752021496162,2.93333812262482,1.52763462808305,5.32023770690539,3.32253163472896,50016
"9968","China",50019,42.7943,82.7572,0.496765877528945,1.51816128503724,2.16880210112903,6.95136909386879,2.99627669770714,50019
"9970","South Africa",50021,-29.733,22.5701,0.471752713152414,2.34673125699708,1.16605150755151,5.25389021628127,3.49225402986176,50021
"9971","Colombia",50022,2.27666,-74.4479,0.388919817444619,2.95199052815522,1.45696526996273,5.6784582838221,3.39165397941092,50022
"9973","Congo DRC",50024,-5.85147,23.4684,0.175943905158374,2.90400672436282,1.1908191940424,0,2.26709515600535,50024
"9978","China",50031,40.7776,117.792,0.653252988617486,2.58905819476175,2.22717325716245,6.95136909386879,2.99627669770714,50031
"9981","China",50034,28.9746,101.622,0.463596802000875,2.71407766567294,2.05715174346436,6.95136909386879,2.99627669770714,50034
"9983","Congo DRC",50036,-3.14718,22.5701,0.0292677836520562,2.90262657856671,0.93551272006564,0,2.26709515600535,50036
"9984","Papua New Guinea",50037,-6.07397,155.263,0.292256066703321,3.07990016625124,1.16112211417578,2.8668778143375,2.79622643974621,50037
"9986","Ethiopia",50039,5.88412,43.2314,0.0374264995343648,2.4371888396936,0.485737444130483,3.63648789635337,2.09437779351545,50039
"9987","Congo DRC",50041,-3.14718,18.0785,0.144213001510112,2.96295812176783,1.05585406626016,0,2.26709515600535,50041
"9996","Philippines",50050,7.70101,122.351,0.232465272027097,2.97618616227091,1.07023427631323,5.07753141635459,3.02038699518645,50050
"9997","South Africa",50051,-26.5486,28.8583,0.374879564846237,2.70473253736838,1.30214865410954,5.25389021628127,3.49225402986176,50051
"9999","Argentina",50053,-28.1528,-54.685,0.306267356684428,2.99534525483095,1.63454513027392,5.78923793550226,3.80950249718057,50053
"10000","Morocco",50055,33.601,-5.27767,0.214892938027338,2.16483065678421,1.78560577948843,4.97335418216401,3.16095306782485,50055
"10007","China",50063,32.0845,112.402,0.804526587944156,2.85652750181518,2.39690999181447,6.95136909386879,2.99627669770714,50063
"10010","Congo DRC",50067,-4.0497,18.9768,0.0680575076477669,2.93903613744794,1.52142272394069,0,2.26709515600535,50067
"10011","Congo DRC",50068,-10.3264,26.1634,0.196007345193738,2.78130435277075,0.762181435921698,0,2.26709515600535,50068
"10012","Mexico",50070,18.2354,-98.7025,0.306154102654875,2.81336451801596,2.22288390983987,5.19781516944518,3.82053390533369,50070
"10013","Bolivia",50071,-16.4788,-60.0749,0.372746624351482,2.96003026845561,1.23420628491085,4.4215710245264,2.98847132047518,50071
"10014","China",50072,38.6973,115.995,0.551963560706004,2.6407002564152,2.29826981087251,6.95136909386879,2.99627669770714,50072
"10021","Turkey",50079,39.3978,28.8583,0.32790981124191,2.73037846858764,1.4527440914801,5.33782451404581,3.5953428256262,50079
"10022","Ecuador",50080,-2.24386,-75.3463,0.0297218822956333,2.90170800070649,1.4001826035713,5.00241662707248,3.30639568540983,50080
"10023","Portugal",50081,39.3978,-7.97261,0.492268768950749,2.56491252837109,1.8203593040036,5.03344788228798,4.09994418754491,50081
"10026","Brazil",50085,-22.4398,-48.3968,0.32441098826558,2.86404466760006,1.98488194444147,5.98977763964001,3.58078294659351,50085
"10028","Pakistan",50088,25.104,66.8596,0.414801496052646,1.98286324493696,1.81399446344398,5.06566932773143,2.7175806602292,50088
"10033","Argentina",50094,-32.8185,-61.8715,0.485656613980607,2.85395157769937,1.42418701304691,5.78923793550226,3.80950249718057,50094
"10035","South Africa",50096,-28.9459,21.6718,0.487937743763665,2.28761513731376,1.16312244630834,5.25389021628127,3.49225402986176,50096
"10036","Australia",50097,-30.5139,149.233,0.542867672922249,2.62814555968115,1.4424740357123,5.36316241230006,4.33107201983724,50097
