"","mean_groun","Fishnet_ID","COUNTRY","Groundnut_","Groundnut_Error_Ratio"
"237",1.018105258,12862,"Dominican Republic",0.502030003,0.493102259
"238",1.145172432,12886,"Costa Rica",0.512229754,0.44729487
"239",0.902667893,12897,"Burkina Faso",0.480796547,0.532639469
"240",0.51665743,13094,"Brazil",0.448868323,0.868792931
"241",0.697729309,13172,"South Africa",0.49043036,0.702894882
"242",1.49000001,13182,"Colombia",0.524958514,0.352321148
"243",0.702878118,13231,"India",0.481389868,0.684883845
"244",1.909999967,13254,"Indonesia",0.575366031,0.301238765
"245",0.519816842,13286,"Madagascar",0.44319989,0.852607792
"246",1.352781653,13354,"South Africa",0.511183548,0.377875873
"247",0.235051543,13429,"Angola",0.401059585,1.706262294
"248",1.700000048,13526,"Peru",0.5444435,0.320260873
"249",2.221936496,13553,"Vietnam",0.510217721,0.229627499
"250",1.488571678,13562,"Brazil",0.428842251,0.288089756
"251",0.194888095,13598,"Brazil",0.434663221,2.230322078
"252",0.309841103,13629,"Niger",0.416390391,1.343883645
"253",1.909999967,13635,"Indonesia",0.578895964,0.303086897
"254",2.059543371,13670,"Argentina",0.585503962,0.284288241
"255",0.572711288,13679,"Uruguay",0.444237119,0.775673761
"256",0.485357316,13830,"Angola",0.439988911,0.906525763
"257",0.454465428,13947,"China",0.46994136,1.034053046
"258",1.438635732,14021,"Mexico",0.488706845,0.33970159
"259",0.959761895,14064,"Kazakhstan",0.446130113,0.464834159
"260",1.389999986,14077,"Kazakhstan",0.513289537,0.369273052
"261",0.980135918,14187,"Nigeria",0.494827516,0.504856017
"262",0.437455647,14193,"Congo DRC",0.429886289,0.982696856
"263",1.830416635,14204,"Indonesia",0.583380411,0.318714548
"264",0.887190079,14210,"Bolivia",0.484670049,0.546297868
"265",0.215970408,14327,"Angola",0.402363318,1.863048377
"266",1.099689603,14355,"Guinea",0.480515434,0.436955512
"267",0.101354166,14361,"Kazakhstan",0.438149498,4.322954993
"268",2.059999943,14367,"Argentina",0.584265323,0.283623951
"269",0.241718098,14381,"Zambia",0.408877264,1.691545926
"270",0.101745213,14389,"Congo DRC",0.402484936,3.955812014
"271",2.008499944,14445,"Argentina",0.569014098,0.283303019
"272",1.794421934,14479,"China",0.585289295,0.326171501
"273",0.126518957,14624,"United States",0.481138198,3.802894123
"274",0.66604166,14685,"Kazakhstan",0.420799648,0.631791783
"275",1.342767358,14704,"Pakistan",0.505385498,0.376376068
"276",1.909999967,14882,"Indonesia",0.584477754,0.306009301
"277",2.059543371,15035,"Argentina",0.586610096,0.284825318
"278",1,15147,"Fiji",0.499200283,0.499200283
"279",0.433758764,15260,"Tanzania",0.444360884,1.024442434
"280",0.828416453,15292,"Central African Republic",0.440123674,0.531283115
"281",0.636160349,15346,"Zimbabwe",0.446808354,0.702351781
"282",0.463333329,15414,"Kazakhstan",0.422794329,0.912505755
"283",2.341257973,15456,"Brazil",0.48977178,0.209191719
"284",0.476533315,15457,"Kenya",0.463018808,0.971639953
"285",1.55045312,15477,"China",0.561524972,0.362168301
"286",0.493276643,15493,"Niger",0.433384838,0.87858374
"287",0.300405204,15511,"Philippines",0.463762885,1.543791116
"288",0.804696966,15694,"Bolivia",0.472523255,0.587206458
"289",0.64450085,15711,"Peru",0.456621838,0.708489117
"290",0.090909091,15857,"Saudi Arabia",0.416513991,4.581653896
"291",1.40351094,15917,"South Africa",0.531918407,0.37899128
"292",0.125063053,16044,"Mozambique",0.423545362,3.386654586
"293",0.428369675,16052,"Zambia",0.421822716,0.984716568
"294",1.909999967,16072,"Indonesia",0.584207679,0.3058679
"295",0.541166897,16084,"Central African Republic",0.492700303,0.910440579
"296",0.12014003,16181,"Argentina",0.471283631,3.922786027
"297",0.810833325,16270,"Kazakhstan",0.476055468,0.587118774
"298",0.244722224,16290,"Ecuador",0.420002465,1.716241615
"299",0.596657321,16297,"Tanzania",0.441677907,0.740253897
"300",0.696335591,16304,"Brazil",0.443727949,0.637232901
"301",0.396361387,16335,"Uganda",0.442082645,1.115352452
"302",0.854029194,16370,"Kenya",0.482762501,0.565276345
"303",2.671350445,16426,"Greece",0.549729312,0.205787044
"304",1.458958343,16515,"Colombia",0.504994976,0.346133924
"305",1.052954541,16530,"Bolivia",0.477713399,0.453688531
"306",0.772361279,16587,"Cameroon",0.472065097,0.611197259
