mean_rice_,Fishnet_ID,COUNTRY,Rice_Pr,Rice_Error_Ratio
0.09222650500,66302,China,0.42659885200,4.625555875
0.08404791400,46435,Congo DRC,0.38752918900,4.610812697
0.09468749900,69960,Kazakhstan,0.43455530500,4.589363006
0.09894857700,49224,Brazil,0.45031723700,4.551022871
0.08388888800,62378,Sudan,0.38134079800,4.545784395
0.08376775600,58827,Congo DRC,0.38043924300,4.541595253
0.08789037300,44748,Brazil,0.39844462400,4.533427387
0.09821144500,40146,Senegal,0.44504441700,4.531492404
0.08388888800,56508,Sudan,0.37892985200,4.517044641
0.08904940300,43389,Peru,0.40115007100,4.504803598
0.09892939800,40309,Brazil,0.44513401400,4.499512006
0.09023411700,58292,Brazil,0.40560356700,4.495013422
0.09239563900,45370,Congo,0.41480242000,4.489415566
0.08750000000,64743,Algeria,0.39010214900,4.458310274
0.08663939100,49657,Congo DRC,0.38507553400,4.444578033
0.09722794900,43130,China,0.43194585000,4.442609913
0.09077344000,60248,Chad,0.40164006600,4.424643001
0.09023411700,58303,Brazil,0.39887869600,4.4204865
0.10384088800,927,Brazil,0.45868374600,4.417178578
0.08965110800,58142,Congo DRC,0.39291816400,4.382747439
0.09049192100,48682,Brazil,0.39639826100,4.380482331
0.08977273000,59182,Ethiopia,0.39214159300,4.368159384
0.09090909100,44318,Gabon,0.39668866400,4.3635753
0.09977314900,58014,Brazil,0.43502772700,4.360168356
0.08702779700,53032,Congo DRC,0.37921808900,4.357436383
0.11094531300,61588,Chad,0.48292360400,4.352807622
0.10610126400,43519,Brazil,0.46055872000,4.340746779
0.11214286100,76339,Russian Federation,0.48660423500,4.339145895
0.11912178700,43975,Bolivia,0.51679258800,4.338354897
0.09499999900,45658,Botswana,0.41096468100,4.325944056
0.09515151800,58327,Russian Federation,0.41088422900,4.318209921
0.10243467300,42906,Malawi,0.44230486400,4.317921374
0.09596923300,41897,Pakistan,0.41437260600,4.317765111
0.10103357900,63342,Afghanistan,0.43622076500,4.317582029
0.08957554900,44578,Congo,0.38608629900,4.310175079
0.08935474400,53594,Congo DRC,0.38464000900,4.304640042
0.10455426600,53297,Angola,0.44777471500,4.28270153
0.09644930800,43363,Peru,0.41158627200,4.267384396
0.09711133100,48729,Mozambique,0.41397377900,4.262878232
0.09843721800,52203,Brazil,0.41738860400,4.240150346
0.10000000000,49724,Algeria,0.42326605200,4.23266052
0.12242424100,68389,Kazakhstan,0.51522843400,4.208549139
0.10631432600,47939,Chile,0.44709656300,4.2054216
0.09996650500,41969,Brazil,0.41901420400,4.191545998
0.12890587600,52508,Brazil,0.54029030600,4.19135514
0.09151515100,57114,Sudan,0.38320380100,4.187326326
0.10301142600,64900,China,0.43093807700,4.183400752
0.09515151800,64524,Russian Federation,0.39753356200,4.177900367
0.09667941100,2351,Brazil,0.40377352300,4.176416869
0.10961509500,62373,Mauritania,0.45695838300,4.168754157
0.09796846800,6323,Brazil,0.40397320700,4.12350234
0.10255947700,54449,Panama,0.42218431600,4.116482731
0.09863636700,42897,Botswana,0.40419641100,4.097843658
0.10469370800,52481,Pakistan,0.42891680200,4.096872775
0.09858511600,42470,Mexico,0.40385675900,4.096528719
0.09814815200,69136,Kazakhstan,0.40198667600,4.095713142
0.09437499900,10071,Sudan,0.38560180600,4.085846994
0.12072040900,68406,China,0.49113880200,4.068399089
0.09413366200,43941,Congo DRC,0.38256741400,4.064087234
0.09843721300,56787,Brazil,0.39977798800,4.061248544
0.09847614000,48339,Congo DRC,0.39959772500,4.057812634
0.10057425500,46351,Mexico,0.40642280700,4.041022297
0.09759346500,48299,Brazil,0.39300468500,4.026956979
0.10135958700,51175,Peru,0.40679629100,4.013397282
0.12055556000,61240,Kazakhstan,0.48292582700,4.005836205
0.10312470300,4272,Brazil,0.41244601200,3.999487999
0.11222222100,41905,Kazakhstan,0.44758737500,3.988402395
0.10312470500,42415,Brazil,0.40996342500,3.975414281
0.09875000300,50039,Ethiopia,0.39185475200,3.968149267
0.10593750300,54474,Poland,0.41519476200,3.91924248
0.10634734500,44082,Brazil,0.41665122000,3.917833774
0.11516307900,65670,Afghanistan,0.45083599400,3.914761553
0.10800243900,54995,Peru,0.42154710700,3.903125808
0.10258399000,63514,India,0.40017926600,3.900991432
0.10477975100,46567,Congo DRC,0.40864183600,3.900007703
0.12182683300,47472,Mozambique,0.47503482700,3.89926271
0.10687469100,48313,Brazil,0.41659299900,3.897957459
0.10195283200,50492,Brazil,0.39706727200,3.894617385
0.10909090900,64391,Algeria,0.42173422000,3.86589702
0.10113765600,52237,Congo DRC,0.38756464600,3.832050903
0.11640200700,47582,Brazil,0.44538597500,3.826274018
0.11640200700,54882,Brazil,0.44322782300,3.807733513
0.12963726500,42027,China,0.49217514600,3.796556075
0.11062096600,39305,Moldova,0.41685775500,3.76834311
0.11629630000,67849,Kazakhstan,0.43634682400,3.752026711
0.12272222800,66445,Pakistan,0.45937093400,3.743176289
0.10971802600,42142,India,0.41054423200,3.741812052
0.12072040900,42436,China,0.45105871700,3.736391557
0.16392590300,54559,China,0.60939276400,3.717489139
0.10956999800,46551,Brazil,0.40536149100,3.699566473
0.10815546800,46664,Congo DRC,0.39985977600,3.697083313
0.11399999900,47201,Namibia,0.42113185300,3.694139094
0.11065665400,45628,Mali,0.40745225000,3.682130584
0.11109484900,45651,Peru,0.40717451000,3.665107011
0.10694499700,55168,Brazil,0.39175537000,3.66314817
