mean_barle,Fishnet_ID,COUNTRY,Longitude,mean_barle_1,Barley_Pred,Barley_Error_Ratio,NEAR_DIST
0.230568805,10290,Mexico,25.76740074,0.230568805,0.512286392,-0.281717587,12853848.78
0.301874998,10312,Congo DRC,-4.049699783,0.301874998,0.39942035,-0.097545352,3900805.263
1.902979929,10340,Argentina,-31.28849983,1.902979929,0.589681554,1.313298375,12836960.74
2.632075391,10367,Finland,60.43349838,2.632075391,0.432655415,2.199419976,3903368.409
0.753717412,10414,United States,47.25049973,0.753717412,0.623159215,0.130558197,11358908.18
1.156759385,10452,Brazil,-30.51390076,1.156759385,0.525015673,0.631743712,12320613.86
2.336450462,10460,Turkey,38.69729996,2.336450462,0.628725353,1.707725109,1359952.376
2.795454545,10505,China,28.97459984,2.795454545,0.645787348,2.149667197,6632670.657
0.868167946,10514,Myanmar,13.89369965,0.868167946,0.478542928,0.389625018,5895688.978
0.527777778,10537,China,38.69729996,0.527777778,0.46502577,0.062752008,4827505.515
3.088290691,10592,Canada,42.79430008,3.088290691,0.613013162,2.475277529,10312134.26
2.75,10604,China,26.57789993,2.75,0.648302934,2.101697066,7050266.669
0.161789107,10640,Australia,-25.7378006,0.161789107,0.412652691,-0.250863584,12317454.27
3.950085402,10642,Austria,48.45959854,3.950085402,0.681348558,3.268736844,3203815.596
0.647727273,10700,Mongolia,47.25049973,0.647727273,0.443202383,0.20452489,6636096.994
0.231851741,10708,Ethiopia,9.468029976,0.231851741,0.409263673,-0.177411932,2099922.905
0.288835137,10819,Brazil,-16.47879982,0.288835137,0.427229494,-0.138394357,10760562.22
0.798769195,10834,Peru,-10.24750042,0.798769195,0.460789799,0.337979396,13536523.34
0.336740696,10846,Australia,-21.60219955,0.336740696,0.436445892,-0.099705196,12399924.95
0.913494197,10896,Argentina,-35.08340073,0.913494197,0.417962897,0.4955313,12654788.31
0.377339731,10902,China,35.82600021,0.377339731,0.538682674,-0.161342943,3462640.7
1.144136876,10951,Argentina,-30.51390076,1.144136876,0.527473837,0.616663039,12973887.1
2.021818161,11003,New Zealand,-39.78129959,2.021818161,0.597258257,1.424559904,15385728.73
0.159090906,11033,Argentina,-21.60219955,0.159090906,0.399167356,-0.24007645,12547386.46
0.590524842,11085,Mexico,19.65309906,0.590524842,0.485977815,0.104547027,13174361.6
1.840666016,11102,Canada,50.22029877,1.840666016,0.515037693,1.325628323,9363136.4
2.366807268,11152,Ukraine,50.79320145,2.366807268,0.632351445,1.734455823,2597490.055
1.505013561,11164,Israel,31.77599907,1.505013561,0.449409837,1.055603724,919033.2394
0.455909071,11183,Afghanistan,32.08449936,0.455909071,0.429015543,0.026893528,2095199.534
0.556818171,11226,Bolivia,-12.10000038,0.556818171,0.415570759,0.141247412,12384772.97
1.693958352,11260,Russian Federation,53.01520157,1.693958352,0.515497176,1.178461176,2774308.761
2.512109041,11267,Argentina,-37.96409988,2.512109041,0.606548278,1.905560763,13204935.74
2.829275412,11332,United States,29.8817997,2.829275412,0.612785359,2.216490053,12127297.45
2.512109041,11425,Argentina,-35.06430054,2.512109041,0.600943919,1.911165122,12727255.65
1.567059809,11455,Spain,37.98989868,1.567059809,0.58330061,0.983759199,4333581.15
0.555583309,11486,Afghanistan,33.60100174,0.555583309,0.441867906,0.113715403,2451057.02
1.542260663,11607,Mexico,24.95120049,1.542260663,0.558818806,0.983441857,12979587.5
0.02625,11765,Congo DRC,3.179949999,0.02625,0.405766367,-0.379516367,3198707.31
0.189583325,11784,Bolivia,-10.3263998,0.189583325,0.413654361,-0.224071036,12564871.53
1.730000019,11832,Russian Federation,55.63940048,1.730000019,0.528376813,1.201623206,3993025.526
0.042954545,11870,Congo,1.372789979,0.042954545,0.380653288,-0.337698743,3888490.676
0.625,11946,Mongolia,48.45959854,0.625,0.410375283,0.214624717,4566181.073
0.613383551,11956,Turkey,38.69729996,0.613383551,0.559650824,0.053732727,1168219.319
1.371717493,11966,Mexico,24.12949944,1.371717493,0.572431862,0.799285631,12999948.51
0.734848485,12100,Mongolia,48.45959854,0.734848485,0.452422197,0.282426288,6287632.124
0.029166666,12142,Bolivia,-14.73779964,0.029166666,0.405617114,-0.376450448,12243798.38
0.093201767,12187,Peru,-5.851469994,0.093201767,0.451196765,-0.357994998,13217900.8
0.044935065,12346,Russian Federation,55.12789917,0.044935065,0.409807809,-0.364872744,4993189.507
3,12392,China,47.25049973,3,0.663553242,2.336446758,7034138.512
2.944444444,12402,China,42.12919998,2.944444444,0.660125453,2.284318991,7171943.703
2.972222222,12408,China,43.45230103,2.972222222,0.582379485,2.389842737,3896415.464
1.906360024,12445,Latvia,56.64239883,1.906360024,0.560153949,1.346206075,3552106.054
1.594457719,12532,Australia,-31.28849983,1.594457719,0.557593673,1.036864046,12697857.64
1.116623417,12565,Kazakhstan,50.79320145,1.116623417,0.473230218,0.643393199,4028912.718
0.036212123,12570,Argentina,-23.27230072,0.036212123,0.394054955,-0.357842832,12788254.03
2.182727219,12618,Mozambique,-16.47879982,2.182727219,0.457555751,1.725171468,4976730.628
0.328357458,12729,Australia,-42.73089981,0.328357458,0.424387676,-0.096030218,13201210.46
0.385303028,12737,Argentina,-21.60219955,0.385303028,0.404591934,-0.019288906,12633810.09
0.47246097,12742,United States,47.85179901,0.47246097,0.448554236,0.023906734,11467378.94
3,12857,China,24.12949944,3,0.660799516,2.339200484,7056687.114
0.144166668,13134,Russian Federation,57.61930084,0.144166668,0.394059252,-0.249892584,5231018.69
0.858270884,13172,South Africa,-29.7329998,0.858270884,0.508166796,0.350104088,6591497.333
1.941590921,13231,India,28.97459984,1.941590921,0.546088517,1.395502404,5111294.212
0.502242323,13300,Canada,53.55350113,0.502242323,0.456106931,0.046135392,10258559.64
1.581580281,13354,South Africa,-28.66049957,1.581580281,0.541865128,1.039715153,6342374.749
0.844004851,13403,Canada,53.55350113,0.844004851,0.409324941,0.43467991,10193270.77
0.018383839,13490,Tajikistan,38.69729996,0.018383839,0.462258192,-0.443874353,2959835.627
1.179999948,13526,Peru,-13.86180019,1.179999948,0.512834271,0.667165677,13263610.95
0.74503448,13537,Argentina,-29.7329998,0.74503448,0.486831571,0.258202909,13529680.8
0.745874257,13562,Brazil,-23.27230072,0.745874257,0.440943123,0.304931134,11429980.09
5.466812344,13646,France,47.41109848,5.466812344,0.847094216,4.619718129,4456214.629
1.512096441,13670,Argentina,-34.32229996,1.512096441,0.567367492,0.944728949,13098559.71
0.382917214,13679,Uruguay,-34.21780014,0.382917214,0.559055675,-0.176138461,12246298.96
1.730000019,13778,Russian Federation,56.64239883,1.730000019,0.502428231,1.227571788,3773332.021
0.875,13862,China,32.84600067,0.875,0.55604146,0.31895854,4623435.279
0.972222222,13947,China,42.79430008,0.972222222,0.489807598,0.482414624,4464565.403
0.354040011,13959,Australia,-32.81850052,0.354040011,0.485257265,-0.131217254,13155366.8
4.162664913,14021,Mexico,19.94330025,4.162664913,0.681703725,3.480961188,13536912.62
0.951666699,14064,Kazakhstan,50.79320145,0.951666699,0.499920703,0.451745996,2669697.858
