FISHNET_ID,Latitude,Longitude,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaBinaryGCO,Sim1.0x,Sim0.1x,Sim0.2x,Sim0.5x,Sim0.8x,Sim1.1x,Sim1.2x,Sim1.5x,Sim1.8x,Sim2.0x,Sim2.5x,Sim3.0x,Sim4.0x,Sim5.0x
51012,-3.14718,-69.0581,0.497168422,873.8789683,71.76652562,976736,3807.754204,1,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422,0.497168422
19282,-3.14718,-70.8547,0.499734945,844.625,36.40147933,16571,2065.427423,1,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945
12142,-14.7378,-62.7698,0.502484918,876.1011905,4.164328122,26397,972.8034761,1,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918
55026,-4.0497,-68.1597,0.525701228,873.75,83.18462926,976736,3807.754204,1,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228,0.525701228
53406,4.08244,-57.38,0.529054295,1029.735119,10.08990173,2030,964.1759833,1,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295,0.529054295
36017,-5.85147,-66.3631,0.530696154,828.0029762,124.3657385,976736,3807.754204,1,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154
7400,-0.435754,-64.5665,0.532338354,982.7529762,49.31842562,976736,3807.754204,1,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354
58119,-5.85147,-62.7698,0.537538548,849.1815476,75.81241446,976736,3807.754204,1,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548,0.537538548
45372,-2.24386,-74.4479,0.540601823,797.5505952,90.43302507,16571,2065.427423,1,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823,0.540601823
42415,-0.435754,-59.1766,0.547117922,977.235119,89.72523669,976736,3807.754204,1,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922,0.547117922
45691,-6.75027,-66.3631,0.569355713,807.0357143,75.69128174,976736,3807.754204,1,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713,0.569355713
42854,3.17995,-62.7698,0.570981569,999.9494048,58.34540233,976736,3807.754204,1,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569,0.570981569
44572,-5.85147,-59.1766,0.573255863,863.2886905,76.48419456,976736,3807.754204,1,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863,0.573255863
55783,1.37279,-68.1597,0.591182925,951.2708333,75.31948045,976736,3807.754204,1,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925,0.591182925
30978,1.37279,-57.38,0.591182947,957.4017857,73.74976613,976736,3807.754204,1,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947
39451,-8.54258,-52.8884,0.597154502,878.8154762,50.56103088,976736,3807.754204,1,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502
48380,-1.33998,-67.2614,0.600078056,885.0625,75.34431206,976736,3807.754204,1,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056,0.600078056
51907,4.08244,-60.9732,0.6008861,935.0833333,50.41538839,976736,3807.754204,1,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861,0.6008861
42879,-1.33998,-75.3463,0.603454858,803.6577381,22.40061915,100557,2023.86319,1,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858,0.603454858
43363,-4.0497,-72.6513,0.608367175,796.0267857,48.04366157,16571,2065.427423,1,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175,0.608367175
54651,3.17995,-69.0581,0.612561968,959.2410714,50.76912566,476933,2463.075323,1,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968,0.612561968
17568,-7.64738,-67.2614,0.627310806,785.7053571,70.6810665,976736,3807.754204,1,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806
43383,-4.0497,-65.4648,0.650077285,872.327381,235.1880876,976736,3807.754204,1,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285,0.650077285
48598,-3.14718,-76.2446,0.65129693,815.6031746,64.21367438,16571,2065.427423,1,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693,0.65129693
6323,-6.75027,-71.753,0.653448734,798.047619,93.43063439,976736,3807.754204,1,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734
28643,-7.64738,-73.5496,0.665653746,818.4702381,81.38233259,16571,2065.427423,1,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746
45906,-0.435754,-65.4648,0.681502581,955.5833333,54.92359377,976736,3807.754204,1,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581,0.681502581
47794,-0.435754,-73.5496,0.687929782,848.2172619,49.33612871,476933,2463.075323,1,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782,0.687929782
44568,-4.0497,-76.2446,0.699666556,853.0744048,70.64026118,16571,2065.427423,1,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556,0.699666556
48021,1.37279,-66.3631,0.700294802,1010.321429,49.3748467,976736,3807.754204,1,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802,0.700294802
54995,-4.95121,-71.753,0.703123023,811.875,71.54155945,16571,2065.427423,1,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023,0.703123023
54982,-2.24386,-73.5496,0.703813986,800.3392857,37.7150415,16571,2065.427423,1,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986,0.703813986
52418,2.27666,-67.2614,0.709996281,999.0238095,52.23796636,976736,3807.754204,1,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281,0.709996281
47948,-9.43566,-70.8547,0.710250272,792.5238095,45.54366794,16571,2065.427423,1,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272,0.710250272
55545,-5.85147,-60.0749,0.75533197,864.8511905,76.34101304,976736,3807.754204,1,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197,0.75533197
927,1.37279,-64.5665,0.759413307,1010.261905,61.52032038,976736,3807.754204,1,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307
