"","X1","X2","distances"
"35457",14412461.3781472,-1726573.05800147,2318247.68839567
"35492",15612492.9328,-3548141.3286,495743.13875294
"35636",15512492.9328,-3462959.48605,498634.369160797
"35641",15912492.9328,-2847792.8487,1232317.49021961
"35728",16312492.9328,-4124193.2187,1087197.0096455
"35751",14012492.9328,-2666317.15395,1739695.67212853
"35938",15612492.9328,-3115372.02545,852627.890121087
"35977",14012492.9328,-3462959.48605,1309628.87270508
"35996",16712492.9328,-2574695.0043,1964450.83900799
"36099",14112492.9328,-2937617.42485,1483118.86639098
"36103",12812492.9328,-2757354.6945,2688053.93547042
"36280",16412492.9328,-3115372.02545,1394577.17329829
"36315",13112492.9328,-2847792.8487,2378246.68406119
"36479",14712492.9328,-2847792.8487,1171238.50551145
"36541",12938917.9909933,-3851506.1146751,2312689.10511177
"36621",13412492.9328,-3462959.48605,1887253.13730526
"36641",16612492.9328,-2666317.15395,1828830.86827562
"36725",16313288.6021107,-4590944.56968814,1273689.95605364
"36900",13312492.9328,-3026814.8206,2121375.05468333
"36957",14712492.9328,-3026814.8206,1015631.1711735
"36974",16683574.2451396,-4039949.52659063,1440317.42756092
"37072",13109598.3539538,-3860283.45377647,2141900.90516394
"37088",15312492.9328,-2202676.04035,1686160.02869898
"37132",14012492.9328,-3203276.62205,1415334.67126893
"37232",13012492.9328,-3716378.65495,2245377.93103168
"37250",17066170.4532233,-3267480.2242502,1917908.93400004
"37287",13172966.4145444,-3850062.41742619,2078698.27607719
"37337",14112492.9328,-3377081.28795,1248075.77514839
"37419",13112492.9328,-3026814.8206,2305594.1380292
"37455",16612492.9328,-4044118.9467,1370124.46993409
"37523",16412492.9328,-3963293.9918,1163625.82678042
"37706",14212492.9328,-2757354.6945,1535222.62659998
"37735",15912492.9328,-4044118.9467,679414.296654766
"37789",13112492.9328,-3115372.02545,2274011.19226277
"37850",15912492.9328,-3462959.48605,785857.379391796
"37869",16312492.9328,-3716378.65495,1074914.24909729
"38082",14312492.9328,-3026814.8206,1273801.82494103
"38113",13112492.9328,-3716378.65495,2145683.09631761
"38185",14812492.9328,-3026814.8206,966302.526395482
"38202",15312492.9328,-2847792.8487,1041730.77939885
"38272",16412492.9328,-3377081.28795,1268492.31912148
"38276",16112492.9328,-2389758.88315,1727865.40824155
"38365",15412492.9328,-3115372.02545,788990.827382838
"38416",14312492.9328,-3462959.48605,1030451.10228477
"38684",13512492.9328,-2666317.15395,2124940.36347553
"38686",13212492.9328,-2847792.8487,2288731.3487841
"38763",15312492.9328,-2389758.88315,1499215.69352959
"38766",16263079.3568333,-1955604.56646667,2180996.08062807
"38789",12830214.2314984,-3738158.4719622,2425724.70440668
"38906",13912492.9328,-3377081.28795,1432908.0037442
"38915",16412492.9328,-3026814.8206,1445504.38223581
"38939",14207981.9793836,-1633302.15638295,2484147.55052611
"38947",16312492.9328,-3290516.78655,1217678.00299889
"38986",15812492.9328,-3462959.48605,703802.475191375
"38996",13212492.9328,-3115372.02545,2180220.3556511
"39011",14512843.0070527,-3458372.22182159,854223.727136504
"39111",15712492.9328,-3799416.93585,469548.520405966
"39172",14912492.9328,-1435776.1316,2475250.51376142
"39282",15012492.9328,-2202676.04035,1701891.2868938
"39284",16612492.9328,-2757354.6945,1769328.13040473
"39312",13612492.9328,-2108372.58065,2419062.76386631
"39355",16412492.9328,-4663292.26855,1396358.60129706
"39370",16709933.6306476,-2501253.52130628,2012423.92747064
"39375",15412492.9328,-2482503.6033,1414434.89140551
"39379",14312492.9328,-2013585.1064,2096141.0883628
"39390",13012492.9328,-3632617.3477,2253318.12963227
"39507",14512492.9328,-3203276.62205,1007145.32962781
"39527",15312492.9328,-2666317.15395,1222939.77292025
"39541",15305922.0333098,-3627185.35127508,266200.15618332
"39592",13012492.9328,-2574695.0043,2595460.05989203
"39604",13512492.9328,-2482503.6033,2235661.42908616
"39607",14212492.9328,-2108372.58065,2060404.82320313
"39611",13412492.9328,-2482503.6033,2314292.14422996
"39653",12912492.9328,-2574695.0043,2682196.67918587
"39654",14412492.9328,-2574695.0043,1558103.80774879
"39672",14512492.9328,-2202676.04035,1839908.82086853
"39740",14012492.9328,-1822633.2914,2408175.58392408
"39760",15415346.2127018,-3934577.22241556,170582.789387902
"39768",15976019.2512232,-1539807.90685798,2457214.71825503
"39851",16912492.9328,-3115372.02545,1831942.95096214
"39858",16012492.9328,-3203276.62205,1023645.52696562
"39861",15412492.9328,-3462959.48605,454315.240168481
"39872",13212492.9328,-2389758.88315,2529967.56222003
"39890",16888509.0901595,-2688199.11225345,2029591.58016658
"39904",16112492.9328,-4044118.9467,875255.151265603
"39929",16212492.9328,-2666317.15395,1554247.97188917
"39972",16354555.0737168,-4546477.23809245,1284940.84978446
"40038",16787875.5748924,-3792309.23797292,1539511.87874452
"40092",16812492.9328,-3026814.8206,1782811.96588398
"40104",13814106.1325094,-1919952.00438399,2436745.53040319
"40119",14513416.449772,-1534081.97945205,2466606.5174913
"40120",16112492.9328,-2937617.42485,1282310.22183622
"40133",15712492.9328,-3026814.8206,976650.214994935
"40137",15612492.9328,-2296477.34305,1631721.85814493
"40149",15837171.9005661,-4246610.23419484,687034.336643385
"40177",15912492.9328,-2013585.1064,1987347.43033708
"40224",14613773.0159083,-3457176.60702433,769313.642708897
"40231",16212492.9328,-3290516.78655,1131594.37181718
"40286",14612492.9328,-2757354.6945,1298400.59298381
"40324",15112492.9328,-2013585.1064,1879276.09349853
"40453",15754073.4208609,-4247186.14044089,618036.410441998
"40519",13612492.9328,-2757354.6945,1990855.37728643
"40572",16012492.9328,-4044118.9467,777069.934534808
"40591",14014869.5156489,-1636485.6691582,2568443.52079625
"40604",15612492.9328,-3290516.78655,697927.247192774
