OBJECTID,COUNTRY,Fishnet_ID,OBJECTID_1,Fishnet__1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
41063,Russian Federation,41062,1045,41062,37,0.25694444444,3.14589905739,3.14589905739,0.00000000000,3.14589905739,0.00000000000,116.39826512300
41075,China,41074,1046,41074,76,0.52777777778,1.17258691788,2.91178584099,1.73919892311,2.43149987334,0.69472062132,184.79399037400
41106,Argentina,41105,1047,41105,3,0.02083333333,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
41117,Australia,41116,1048,41116,15,0.10416666667,4.14533281326,4.32995319366,0.18462038040,4.23148899078,0.09210482801,63.47233486180
41123,India,41122,1049,41122,82,0.56944444444,0.30650657415,0.78688842058,0.48038184643,0.62934232485,0.18624297098,51.60607063770
41128,Mexico,41127,1050,41127,9,0.06250000000,0.00000000000,0.35395228863,0.35395228863,0.15731212828,0.17588030626,1.41580915451
41132,Afghanistan,41131,1051,41131,3,0.02083333333,5.54139184952,5.63642978668,0.09503793716,5.60475047429,0.04480131323,16.81425142290
41165,Russian Federation,41164,1052,41164,44,0.30555555556,3.14589905739,3.14589905739,0.00000000000,3.14589905739,0.00000000000,138.41955852500
41186,Portugal,41185,1053,41185,31,0.21527777778,0.00000000000,0.16970682144,0.16970682144,0.07664179033,0.08445513958,2.37589550018
41188,Kenya,41187,1054,41187,101,0.70138888889,1.97829651833,7.07268810272,5.09439158440,5.29240161358,1.26817012093,534.53256297100
41197,Kazakhstan,41196,1055,41196,10,0.06944444444,1.69970703125,1.69970703125,0.00000000000,1.69970703125,0.00000000000,16.99707031250
41209,Kenya,41208,1056,41208,7,0.04861111111,0.73234492540,1.12190175056,0.38955682516,1.06625077554,0.13631649250,7.46375542879
41211,Brazil,41210,1057,41210,49,0.34027777778,0.00000000000,0.32335889339,0.32335889339,0.05592341569,0.11973372562,2.74024736881
41227,Madagascar,41226,1058,41226,83,0.57638888889,1.42038655281,3.37153291702,1.95114636421,1.80560634510,0.71637453764,149.86532664300
41245,India,41244,1059,41244,110,0.76388888889,0.18627035618,1.72663259506,1.54036223888,0.73981910185,0.35473155253,81.38010120390
41260,Madagascar,41259,1060,41259,50,0.34722222222,0.62156391144,3.18988943100,2.56832551956,2.32256629467,0.94132315290,116.12831473400
41272,Australia,41271,1061,41271,69,0.47916666667,0.00000000000,3.77080512047,3.77080512047,1.87841098205,1.60937337327,129.61035776100
41287,Brazil,41286,1062,41286,110,0.76388888889,0.56307864189,6.83874845505,6.27566981316,5.02123164264,1.67283687131,552.33548069000
41294,India,41293,1063,41293,109,0.75694444444,1.38098621368,3.43997335434,2.05898714066,1.91397245652,0.65555518846,208.62299776100
41325,Guinea,41324,1064,41324,120,0.83333333333,0.59584760666,3.09098410606,2.49513649940,1.75516800185,0.81916794243,210.62016022200
41350,United States,41349,1065,41349,58,0.40277777778,1.52710103989,1.93758630753,0.41048526764,1.53417837209,0.05343268636,88.98234558110
41352,Ethiopia,41351,1066,41351,48,0.33333333333,0.00000000000,3.32932233810,3.32932233810,1.96530226121,1.17522915808,94.33450853820
41362,Paraguay,41361,1067,41361,110,0.76388888889,0.87941622734,3.29416847229,2.41475224495,1.21594311432,0.81179886982,133.75374257600
41371,Cameroon,41370,1068,41370,104,0.72222222222,0.00000000000,0.62251502276,0.62251502276,0.48323499698,0.19734545383,50.25643968580
41372,Pakistan,41371,1069,41371,64,0.44444444444,0.13711392880,2.27285099030,2.13573706150,0.40460283123,0.65683646953,25.89458119870
41381,Australia,41380,1070,41380,37,0.25694444444,0.80640959740,6.28696393967,5.48055434227,4.11621535469,2.06104924020,152.29996812300
41408,Argentina,41407,1071,41407,11,0.07638888889,1.78979969025,1.78979969025,0.00000000000,1.78979969025,0.00000000000,19.68779659270
41414,Pakistan,41413,1072,41413,77,0.53472222222,2.62240362167,2.89044690132,0.26804327965,2.68854417120,0.11555932468,207.01790118200
41425,Congo DRC,41424,1073,41424,2,0.01388888889,1.93488883972,1.93488883972,0.00000000000,1.93488883972,0.00000000000,3.86977767944
41430,Venezuela,41429,1074,41429,46,0.31944444444,0.00000000000,0.21939325333,0.21939325333,0.03815533026,0.08315761439,1.75514519215
41443,Kenya,41442,1075,41442,121,0.84027777778,0.69384479523,0.81435203552,0.12050724030,0.77152714848,0.05767788141,93.35478496550
41449,Australia,41448,1076,41448,77,0.53472222222,2.12631845474,2.53215074539,0.40583229065,2.17902394703,0.13642478422,167.78484392200
41454,Mexico,41453,1077,41453,91,0.63194444444,0.00000000000,5.99916744232,5.99916744232,1.89272521354,1.60886724370,172.23799443200
41455,United States,41454,1078,41454,41,0.28472222222,0.00000000000,3.26760506630,3.26760506630,1.84898478229,1.14410612300,75.80837607380
41473,Ethiopia,41472,1079,41472,76,0.52777777778,0.00000000000,2.45118665695,2.45118665695,0.42755354863,0.75980830070,32.49406969550
41474,Canada,41473,1080,41473,17,0.11805555556,0.82718014717,1.43792438507,0.61074423790,1.27377566169,0.21424732589,21.65418624880
41480,South Africa,41479,1081,41479,79,0.54861111111,0.12207078934,5.79573583603,5.67366504669,2.48997586287,1.83726547824,196.70809316600
41483,Niger,41482,1082,41482,110,0.76388888889,0.52968430519,0.90537643433,0.37569212914,0.78650186712,0.14435261939,86.51520538330
41489,Argentina,41488,1083,41488,88,0.61111111111,1.10961198807,1.10961198807,0.00000000000,1.10961198807,0.00000000000,97.64585495000
41498,Ethiopia,41497,1084,41497,65,0.45138888889,0.00000000000,5.51139354706,5.51139354706,1.33068443078,1.02094067989,86.49448800090
41513,Botswana,41512,1085,41512,74,0.51388888889,3.29006981850,3.29006981850,0.00000000000,3.29006981850,0.00000000000,243.46516656900
41528,Australia,41527,1086,41527,66,0.45833333333,0.00000000000,1.09344267845,1.09344267845,0.37087975488,0.47656350301,24.47806382180
41539,Niger,41538,1087,41538,85,0.59027777778,0.47698771954,1.05336964130,0.57638192177,0.70951988978,0.10622409387,60.30919063090
41540,Russian Federation,41539,1088,41539,51,0.35416666667,3.14589905739,3.14589905739,0.00000000000,3.14589905739,0.00000000000,160.44085192700
41542,Mexico,41541,1089,41541,4,0.02777777778,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
41550,Russian Federation,41549,1090,41549,29,0.20138888889,3.14589905739,3.45970702171,0.31380796433,3.28657159312,0.15606216635,95.31057620050
41556,Brazil,41555,1091,41555,99,0.68750000000,0.00000000000,2.99204730988,2.99204730988,0.86295774489,0.86776922039,85.43281674390
41568,China,41567,1092,41567,47,0.32638888889,0.64414978027,2.00157308578,1.35742330551,0.73079382105,0.33182141346,34.34730958940
41570,Lesotho,41569,1093,41569,50,0.34722222222,0.68008518219,3.51665830612,2.83657312393,2.32768994331,1.01780038212,116.38449716600
41571,Argentina,41570,1094,41570,17,0.11805555556,1.78979969025,1.78979969025,0.00000000000,1.78979969025,0.00000000000,30.42659473420
41572,India,41571,1095,41571,99,0.68750000000,0.84162843227,3.32232880592,2.48070037365,1.28440221512,0.39449155729,127.15581929700
41591,Paraguay,41590,1096,41590,99,0.68750000000,0.99843883514,3.47627067566,2.47783184052,2.63443208102,1.10304461100,260.80877602100
41611,China,41610,1097,41610,66,0.45833333333,1.88710451126,2.20958852768,0.32248401642,2.03730325988,0.12892478435,134.46201515200
41613,United States,41612,1098,41612,70,0.48611111111,0.19088792801,1.64375495911,1.45286703110,0.78021558694,0.45468119538,54.61509108540
41641,Ethiopia,41640,1099,41640,41,0.28472222222,1.05448246002,3.65167570114,2.59719324112,2.51427853689,1.16700038811,103.08542001200
41646,United States,41645,1100,41645,4,0.02777777778,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
41648,Argentina,41647,1101,41647,88,0.61111111111,0.00000000000,1.23998022079,1.23998022079,0.39703062448,0.45215274227,34.93869495390
41666,South Africa,41665,1102,41665,24,0.16666666667,1.48341727257,2.99971842766,1.51630115509,1.92365879814,0.35937208549,46.16781115530
41667,Mexico,41666,1103,41666,85,0.59027777778,0.00000000000,1.49732911587,1.49732911587,0.11963690730,0.28998595758,10.16913712020
41677,United States,41676,1104,41676,3,0.02083333333,2.57264518738,2.57264518738,0.00000000000,2.57264518738,0.00000000000,7.71793556213
41680,Mexico,41679,1105,41679,1,0.00694444444,1.30728602409,1.30728602409,0.00000000000,1.30728602409,0.00000000000,1.30728602409
41684,Zambia,41683,1106,41683,110,0.76388888889,4.14573574066,5.01963806152,0.87390232086,4.57380683205,0.39763469185,503.11875152600
41707,South Sudan,41706,1107,41706,100,0.69444444444,0.00000000000,2.46109294891,2.46109294891,0.89140972734,0.53383884141,89.14097273350
41725,Ecuador,41724,1108,41724,22,0.15277777778,3.29694938660,4.93132400513,1.63437461853,4.29911860553,0.57014964255,94.58060932160
41731,United States,41730,1109,41730,49,0.34027777778,0.00000000000,0.35622787476,0.35622787476,0.06300967080,0.12112901390,3.08747386932
41735,Tanzania,41734,1110,41734,107,0.74305555556,3.26182055473,7.03262567520,3.77080512047,5.51701580475,0.97264356472,590.32069110900
41743,Madagascar,41742,1111,41742,99,0.68750000000,4.41694927216,6.05096340179,1.63401412964,5.84321262861,0.33061951078,578.47805023200
41755,Andorra,41754,1112,41754,1,0.00694444444,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
