Fishnet_ID,COUNTRY,mean_wheat,NEAR_DIST,Producer
69798,Russian Federation,2.30974509,1374463.799,Top
74673,Belarus,1.223142295,1374467.28,Bottom
72251,Kazakhstan,1.025630707,1374506.46,Bottom
58674,Kenya,1.727272706,1374897.121,Bottom
75409,Russian Federation,1.71935053,1374899.365,Top
50177,Germany,6.282479052,1375921.724,Top
59012,Italy,1.057311439,1376716.033,Bottom
49598,India,1.302256169,1377627.672,Top
65160,Belarus,1.36985497,1378405.966,Bottom
52589,Tunisia,2.444094436,1378788.366,Bottom
61050,Chad,0.024962377,1379181.342,Bottom
62197,Tunisia,1.684410019,1379531.368,Bottom
58269,Kyrgyzstan,2.328240646,1379585.697,Bottom
46025,Russian Federation,1.649567015,1380405.604,Top
49776,Germany,5.960688797,1381088.502,Top
62894,Russian Federation,1.428891318,1382398.643,Top
56569,Poland,3.48597195,1382634.848,Bottom
48981,Kenya,1.596527758,1383446.215,Bottom
9899,Chad,1.741756777,1384504.988,Bottom
67571,Russian Federation,2.254892011,1384566.103,Top
69280,Russian Federation,1.107908487,1384631.565,Top
71554,Russian Federation,1.900874024,1386042.209,Top
74450,Kazakhstan,0.161513877,1386116.647,Bottom
74301,Russian Federation,1.107908487,1386837.089,Top
71042,Kazakhstan,0.030312501,1386933.325,Bottom
46222,Kazakhstan,1.010690511,1387078.823,Bottom
23948,India,1.309763527,1387138.463,Top
66804,Liechtenstein,3.112531111,1387978.634,Bottom
53772,Kenya,1.594097205,1390663.615,Bottom
36207,India,1.280220037,1391447.139,Top
2723,Tunisia,0.0159375,1391622.55,Bottom
59888,Germany,4.801926712,1393160.837,Top
61174,Italy,1.071887378,1393498.621,Bottom
50060,South Sudan,0.828749978,1393736.415,Bottom
63177,Russian Federation,1.107908487,1394917.087,Top
64834,Poland,3.601626952,1395076.15,Bottom
69185,Germany,6.290805265,1395090.873,Top
59687,Poland,2.746064961,1395389.518,Bottom
57715,Somalia,0.738000011,1395814.316,Bottom
57155,Italy,3.188302249,1396039.816,Bottom
18598,Tunisia,0.03690753,1396253.791,Bottom
42656,Poland,3.360924463,1396540.131,Bottom
55619,Central African Republic,0.354011895,1397000.665,Bottom
57500,Somalia,1.098640794,1397015.542,Bottom
64533,India,1.732795517,1397056.015,Top
60522,Russian Federation,1.960904184,1397725.431,Top
65996,Poland,3.174831418,1397749.782,Bottom
56685,Russian Federation,1.957067574,1400285.396,Top
42723,Kenya,1.456666649,1401503.063,Bottom
66491,China,3.587763201,1401506.847,Top
46751,China,3.138784517,1401507.199,Top
67686,Tunisia,0.478712364,1401618.201,Bottom
46330,India,1.50848342,1401987.267,Top
70574,Kyrgyzstan,1.849536962,1402516.586,Bottom
47303,Germany,6.531740813,1402667.792,Top
56463,Kazakhstan,0.398054893,1403136.072,Bottom
34084,China,2.122977502,1403677.286,Top
58044,China,3.897397841,1403746.523,Top
51736,Germany,5.851698036,1405486.904,Top
69352,Italy,4.83114681,1405567.766,Bottom
50413,Russian Federation,1.528119882,1406498.914,Top
55058,Poland,3.632459685,1408577.938,Bottom
9371,Kenya,1.234583348,1409634.776,Bottom
64562,China,3.288503006,1410248.38,Top
44106,India,1.488579581,1410362.389,Top
46209,India,1.266268926,1410487.781,Top
42002,Russian Federation,2.257234097,1410998.113,Top
63176,Germany,6.113406504,1411140.188,Top
43500,Russian Federation,1.16568069,1411291.421,Top
68724,Kazakhstan,0.110227276,1413220.681,Bottom
49115,Russian Federation,1.629791198,1413854.634,Top
51174,Germany,5.571871687,1416456.448,Top
55639,India,0.144551265,1416534.692,Top
56269,Russian Federation,1.107908487,1416750.628,Top
44996,Kazakhstan,1.106039431,1417108.071,Bottom
50893,India,1.653078717,1417471.43,Top
64127,Russian Federation,1.794350391,1417533.565,Top
70025,Russian Federation,1.770459326,1418166.336,Top
74501,Russian Federation,1.307228463,1418177.056,Top
60000,Chad,0.605828444,1418263.766,Bottom
64368,Switzerland,3.293957954,1418385.242,Bottom
