Fishnet_ID,mean_sorgh,COUNTRY,NEAR_DIST,Producer
2308,2.167631747,Brazil,9131949.151,Bottom
5342,1.016666689,Venezuela,9134087.257,Bottom
3357,1.177106401,Brazil,9134111.942,Bottom
9409,0.826296012,Canada,9140034.091,Bottom
5858,0.336570512,Brazil,9142956.088,Bottom
4025,1.105091442,Brazil,9146526.178,Bottom
2458,1.527120942,Brazil,9152369.778,Bottom
4517,1.880916071,Venezuela,9152722.327,Bottom
5241,1.433333364,Venezuela,9155000.144,Bottom
5335,0.631333288,Brazil,9156611.385,Bottom
1361,1.60414148,Brazil,9159357.529,Bottom
1118,1.604227108,Brazil,9168244.988,Bottom
7516,1.440789232,Canada,9168435.064,Bottom
1288,1.986111154,Venezuela,9169498.385,Bottom
4379,1.150232076,Brazil,9172834.333,Bottom
1140,0.671614664,Brazil,9174059.887,Bottom
3757,1.611027282,Brazil,9174713.133,Bottom
1469,0.048192557,Australia,9175009.881,Bottom
5131,0.250000005,Brazil,9176140.252,Bottom
579,1.40669069,Brazil,9178940.395,Bottom
1969,0.651771453,Brazil,9179011.367,Bottom
3973,1.290175299,Brazil,9182932.081,Bottom
751,1.029786704,Brazil,9183279.661,Bottom
5678,0.938454285,Brazil,9184692.689,Bottom
428,2.214040523,Brazil,9188981.954,Bottom
3063,1.848611151,Venezuela,9189859.436,Bottom
3207,1.453497229,Brazil,9193332.064,Bottom
4102,1.882878778,Brazil,9202685.8,Bottom
2720,0.831930562,Brazil,9203698.861,Bottom
1801,2.321267045,Brazil,9210052.153,Bottom
3999,0.01942687,Brazil,9210104.126,Bottom
3799,1.483333365,Venezuela,9210452.04,Bottom
2065,1.305917402,Brazil,9211299.691,Bottom
3892,1.716516407,Brazil,9222490.013,Bottom
7233,1.967479717,Venezuela,9228167.796,Bottom
1669,0.718254544,Brazil,9228482.763,Bottom
3244,1.352827555,Brazil,9231106.27,Bottom
7370,1.390277808,Venezuela,9231267.369,Bottom
535,0.440691206,Canada,9234707.055,Bottom
4946,1.292269313,Brazil,9242334.228,Bottom
2784,2.13333338,Venezuela,9245819.756,Bottom
4255,1.697277142,Brazil,9252134.527,Bottom
1899,0.381944453,Venezuela,9252296.288,Bottom
274,0.988342009,Brazil,9253350.092,Bottom
4441,0.173493205,Australia,9258664.894,Bottom
4356,1.660349894,Brazil,9260507.729,Bottom
2856,0.14375644,Bolivia,9261103.11,Bottom
3787,1.07848217,Brazil,9262208.108,Bottom
4684,1.753293256,Brazil,9264032.845,Bottom
177,2.047222267,Venezuela,9266151.857,Bottom
2024,2.617904453,Brazil,9267660.468,Bottom
3225,1.852608915,Brazil,9271386.368,Bottom
103,0.213888894,Brazil,9273529.369,Bottom
5911,0.971276043,Brazil,9278287.928,Bottom
3873,1.056317346,Paraguay,9282101.484,Bottom
3384,1.034286578,Bolivia,9286664.601,Bottom
1608,2.047222267,Venezuela,9286701.701,Bottom
310,0.913457874,Uruguay,9290888.364,Bottom
4206,0.580895798,Brazil,9293907.958,Bottom
1730,0.015277778,Brazil,9294956.913,Bottom
2078,2.212005092,Brazil,9295479.957,Bottom
7808,0.620973972,Canada,9300678.018,Bottom
4849,1.364704729,Paraguay,9301985.424,Bottom
4643,0.024693709,Brazil,9303283.426,Bottom
4163,1.866666707,Venezuela,9307460.587,Bottom
3096,0.564760695,Bolivia,9312250.3,Bottom
1103,1.42919871,Brazil,9313154.938,Bottom
4929,1.591521531,Brazil,9315856.428,Bottom
4554,1.808219217,Venezuela,9326055.674,Bottom
2987,1.015414527,Bolivia,9328323.847,Bottom
5832,1.023611133,Venezuela,9328419.515,Bottom
1486,1.274026168,Paraguay,9332426.975,Bottom
3571,1.738829037,Brazil,9336197.558,Bottom
964,0.703770719,Brazil,9337847.575,Bottom
6955,2.13333338,Venezuela,9342215.077,Bottom
1395,1.731261561,Brazil,9346330.51,Bottom
501,0.222243396,Brazil,9347444.61,Bottom
3526,2.357489087,Brazil,9349154.981,Bottom
6726,0.443055565,Venezuela,9349569.206,Bottom
1778,1.161200017,Paraguay,9351714.303,Bottom
1994,2.296941346,Uruguay,9352072.452,Bottom
1148,1.629881703,Bolivia,9353396.575,Bottom
4706,3.301417516,Uruguay,9355079.284,Bottom
156,3.175078572,Uruguay,9358171.839,Bottom
2933,2.047222267,Venezuela,9362762.561,Bottom
4692,0.606118322,Brazil,9363443.992,Bottom
2435,2.379062459,Uruguay,9365953.198,Bottom
4951,0.403966939,Canada,9366339.892,Bottom
6856,0.183333337,Brazil,9370900.114,Bottom
1522,1.030584317,Paraguay,9371007.33,Bottom
5983,1.565060306,Brazil,9371990.847,Bottom
2324,2.522452116,Bolivia,9378489.139,Bottom
6661,2.001388932,Venezuela,9383505.606,Bottom
1956,1.161726888,Brazil,9385245.463,Bottom
1762,1.184179394,Paraguay,9390296.649,Bottom
1946,0.460632644,Brazil,9396576.052,Bottom
7433,1.230262951,Canada,9397181.097,Bottom
596,1.643105207,Brazil,9400769.992,Bottom
809,2.461588437,Bolivia,9403589.233,Bottom
805,1.418201358,Brazil,9403939.343,Bottom
3935,1.483333365,Venezuela,9404435.309,Bottom
3303,1.496133248,Paraguay,9409469.133,Bottom
9075,0.310227259,Japan,9410933.867,Bottom
1551,1.354020836,Brazil,9420427.242,Bottom
483,2.111417844,Bolivia,9421187.94,Bottom
1197,1.309669904,Paraguay,9422643.229,Bottom
9613,0.098437496,Japan,9423713.259,Bottom
5926,0.412500009,Venezuela,9425542.491,Bottom
4359,1.666095758,Bolivia,9428684.736,Bottom
1880,2.085702661,Brazil,9432175.779,Bottom
184,2.563758981,Uruguay,9434300.894,Bottom
4096,1.930612287,Venezuela,9435031.737,Bottom
917,3.234158019,Uruguay,9436509.498,Bottom
2768,2.200000048,Venezuela,9438561.907,Bottom
1136,3.178472632,Uruguay,9438798.539,Bottom
162,3.140921921,Uruguay,9441164.961,Bottom
4570,1.238797392,Paraguay,9441347.924,Bottom
5336,0.267257978,Bolivia,9441637.93,Bottom
3647,2.344542199,Uruguay,9443605.708,Bottom
4226,2.487418059,Bolivia,9445814.366,Bottom
4241,0.611111124,Venezuela,9446817.721,Bottom
5148,1.241692473,Brazil,9453763.729,Bottom
1907,2.183333381,Venezuela,9459329.115,Bottom
9624,0.018362134,Canada,9463203.416,Bottom
5043,1.10209753,Bolivia,9465798.131,Bottom
2335,0.061111112,Brazil,9468251.327,Bottom
3211,2.522452116,Bolivia,9470443.341,Bottom
4601,1.251786331,Brazil,9476694.071,Bottom
4768,2.01666671,Venezuela,9480269.829,Bottom
1229,1.963511409,Bolivia,9489978.516,Bottom
3731,1.326006763,Brazil,9494838.779,Bottom
2469,2.35959613,Bolivia,9495063.05,Bottom
8117,0.867242575,Canada,9495121.746,Bottom
1973,1.826458198,Paraguay,9497297.114,Bottom
2148,1.52727276,Venezuela,9501374.934,Bottom
237,1.249476771,Brazil,9504816.903,Bottom
3155,1.340194623,Paraguay,9512978.34,Bottom
3978,2.380436865,Bolivia,9514167.251,Bottom
2947,1.735944594,Uruguay,9518037.879,Bottom
2668,1.385385239,Uruguay,9519464.719,Bottom
1624,1.175277703,Bolivia,9519661.874,Bottom
2551,3.113118434,Uruguay,9520965.534,Bottom
3877,3.429974153,Uruguay,9522537.858,Bottom
3597,0.583333346,Venezuela,9522635.067,Bottom
2793,2.974244593,Uruguay,9524179.217,Bottom
1009,1.469489177,Uruguay,9525887.126,Bottom
7039,1.964285757,Venezuela,9526139.139,Bottom
1777,1.273729263,Paraguay,9531104.12,Bottom
6637,2.200000048,Venezuela,9534858.75,Bottom
4882,0.871095305,Bolivia,9535927.02,Bottom
1036,2.522452116,Bolivia,9538352.652,Bottom
2934,1.143166282,Paraguay,9544228.401,Bottom
6899,2.108333379,Venezuela,9555850.095,Bottom
4183,1.679999979,Dominican Republic,9556275.74,Bottom
8207,0.136979558,Canada,9556877.342,Bottom
6897,1.519999981,Dominican Republic,9559192.406,Bottom
4396,1.447714294,Bolivia,9559706.585,Bottom
3068,2.484233145,Bolivia,9562523.201,Bottom
4293,1.169959242,Paraguay,9568249.666,Bottom
802,1.802790675,Dominican Republic,9576098.691,Bottom
3679,1.986111154,Venezuela,9576993.007,Bottom
7505,1.658181797,Dominican Republic,9582616.651,Bottom
866,2.522452116,Bolivia,9583487.462,Bottom
2723,0.438334584,Canada,9584961.853,Bottom
