mean_rice_,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
6.260999371,3139766.682,1910,89.49459669,43.77953811
2.697735417,3141133.231,1911,80.51144385,34.72190291
4.970738167,3141392.383,1912,111.9524788,-8.095480024
0.982820601,3143350.082,1913,77.816498,19.51856069
2.091284969,3143655.619,1914,77.816498,26.1740754
7.110043393,3146255.508,1915,126.3255233,43.77953811
0.519349273,3147899.037,1916,82.30807442,37.63441344
4.966066917,3151876.393,1917,135.3086762,34.72190291
0.184453011,3152838.964,1918,90.39291198,44.42683895
6.283761519,3153726.165,1919,120.9356316,46.32592291
2.053661253,3154477.901,1920,77.816498,26.98178314
1.623991409,3154772.875,1921,77.816498,18.66455611
4.937929087,3155823.421,1922,79.61312857,11.69016253
1.866768571,3156410.615,1923,80.51144385,9.540843135
1.504514468,3156873.748,1924,78.71481329,30.93086991
4.552204891,3156994.249,1925,112.8507941,-8.095480024
3.586852587,3157780.473,1926,78.71481329,14.33245432
3.610837758,3158663.74,1927,119.1390011,46.94469194
8.001172066,3158931.496,1928,125.4272081,44.42683895
6.127761091,3159248.285,1929,122.7322622,45.70002889
3.230443666,3167484.763,1930,77.816498,27.78367435
3.006846905,3168182.439,1931,79.84275226,10.80339589
2.482453094,3168821.515,1932,77.816498,17.80617783
0.537754545,3169754.435,1933,91.29122726,45.0670023
1.694774632,3172006.631,1934,127.7508551,-0.887920689
1.713354667,3172326.006,1935,122.8964518,-4.500736801
1.37942736,3172402.489,1936,128.1221539,-0.549076855
1.079546614,3173733.334,1937,117.3423705,47.55634683
3.366727702,3175380.601,1938,80.51144385,35.46024618
7.562173468,3175452.408,1939,124.5288928,45.0670023
4.215525203,3175571.569,1940,113.7491094,-8.095480024
1.734083869,3177024.984,1941,81.40975914,36.91655438
5.247641449,3177295.241,1942,86.79965084,42.46353935
4.450733715,3179353.718,1943,85.90133556,41.79485858
8.420641855,3179486.938,1944,87.69796613,43.12510269
2.998116897,3180736.2,1945,80.51144385,9.022090045
0.655993427,3180787.189,1946,78.71481329,31.70207379
3.133259936,3182598.163,1947,77.816498,28.57963469
3.307588372,3183473.18,1948,81.40975914,7.231832141
5.375887827,3184770.545,1949,129.0204692,42.46353935
1.841342215,3185038.085,1950,79.61312857,33.97684583
3.827298141,3185168.297,1951,78.71481329,13.45489258
3.107111044,3185496.537,1952,77.816498,16.94359866
5.458635412,3185658.253,1953,121.8339469,46.32592291
2.580830654,3185762.975,1954,85.00302027,41.11907488
7.329928857,3185810.976,1955,88.59628141,43.77953811
4.393176622,3185922.578,1956,135.3086762,35.46024618
5.928403835,3186086.812,1957,120.0373164,46.94469194
