mean_cassa,NEAR_DIST,NEAR_X,NEAR_Y
1.123353604,2273853.234,-75.79541558,-2.695687276
8.399889337,10024113.21,30.20578794,-6.30126233
14.65641081,1898744.807,-52.4392182,-3.598665039
10.62834131,10366553.35,31.10410323,0.920742084
7.878175176,10717147.22,35.59567965,-2.695687276
9.257723563,2838273.995,-75.79541558,3.63142439
10.61065076,155672.2675,-63.21900161,-18.63347536
7.49737817,8698817.025,13.13779754,7.231832141
15.10264528,16441051.33,85.00302027,29.36955533
15.08486652,18181173.57,126.7052634,3.794444956
9.201451302,16413877.91,138.9019373,-7.170593938
16.03000069,19262045.04,116.4440552,24.54169549
9.766932017,2913818.939,-73.99878502,5.434354136
3.577804685,10424146.28,30.20578794,5.434354136
2.111323344,9690179.251,30.20578794,-16.04546807
15.00154216,2914322.504,-69.50720859,7.231832141
8.61294276,19548543.46,121.4338168,15.20655249
4.262799762,15242901.06,72.4266063,28.57963469
15.30505012,1688190.957,-46.15101121,-21.18220445
10.27200035,17792944.51,102.0710107,5.434354136
14.56058396,17272552.23,102.0710107,38.34534672
10.32142409,18628343.31,107.4609024,10.80339589
1.295499992,15827943.91,78.71481329,30.15333299
5.730806897,9868306.726,29.30747266,-8.095480024
4.446175366,5059943.511,-88.37182956,19.51856069
9.330632468,1897518.269,-44.35438064,-15.17488847
0.627310806,1219132.619,-66.81226274,-8.095480024
7.866574411,17047096.58,113.7491094,44.42683895
5.131510673,8006014.475,13.13779754,-13.42297741
10.4877036,6523166.162,-11.11671513,12.57406233
10.56522773,16965661.71,91.29122726,30.93086991
4.619951905,6815130.323,-5.726823422,8.127972805
2.911371602,9931718.918,30.20578794,-8.989674489
0.872204542,2133025.774,-74.8971003,-3.598665039
0.053333333,10881240.49,30.20578794,19.51856069
3.001917182,10773404.09,38.2906255,-8.989674489
7.736119076,4534573.221,-88.37182956,13.45489258
9.798309965,2232288.915,-42.55775007,-10.77115798
5.760000229,8915865.821,22.12095039,-14.30066122
5.937037291,16730242.84,92.18954255,36.91655438
4.301908016,15345723.45,73.32492158,26.1740754
4.471153938,4776047.997,-79.38867672,21.57627113
8.40900046,1276114.816,-59.62574047,-29.34099072
8.186759137,18524059.54,103.8676412,19.51856069
13.12041584,17566200.93,100.7208002,3.868473087
8.718498606,17251290.94,92.18954255,24.54169549
15.09307983,1334350.552,-54.23584876,-27.75467148
0.85547958,6008850.705,-99.15161297,22.05267853
3.740333494,15917259.76,82.30807442,37.63441344
11.24739456,17675163.85,125.4183745,-1.792030028
4.440084623,9774100.88,28.40915737,-8.095480024
5.984366056,6772652.388,-5.726823422,7.231832141
8.058907817,17364647.43,102.0710107,0.016412769
0.499734945,1844352.235,-70.40552388,-3.598665039
11.19887656,17793108.46,109.1792019,0.016412769
2.066666709,5031762.553,-84.02876405,21.91402705
8.517185887,2207975.61,-59.62574047,1.824838998
11.23102481,18519025.65,105.6642718,11.69016253
5.53030303,1000317.644,-60.52405575,-26.95256711
11.82365894,2181306.577,-41.65943479,-15.17488847
14.67143726,17297691.17,112.6199824,-5.859446084
5.21520643,10119351.73,32.00241851,-8.989674489
6.524367361,331285.4222,-65.01563217,-17.77494155
10.61999989,15443188.94,152.9774634,-4.763608968
2.043030957,9259680.16,18.52768925,7.231832141
10.34507455,4214790.9,-83.55023223,13.45489258
2.35635165,8941307.552,13.13779754,13.45489258
3.5497745,6383419.981,-8.421769274,4.687950796
3.250256766,6769581.197,-6.625138706,9.022090045
14.34166031,1083002.671,-55.13416405,-10.77115798
16.03000069,17062911.33,98.47774954,38.34534672
1.484259323,15200931.31,75.12155215,41.11907488
10.82999992,4275582.872,-86.57519899,11.88018402
2.389510497,7036211.665,-3.930192854,9.022090045
6.170299932,17321761.73,93.08785783,25.36067104
7.286363948,15493094.04,76.91818272,36.91655438
8.099368768,15546397.22,86.79965084,49.34878108
1.307695442,8056013.075,10.44285169,-2.695687276
