SOURCE_ID,mean_wheat,GiZScore,NEAR_DIST,NEAR_X,NEAR_Y
4063,0.794835409,0.852629912,10160295.8,-99.15161297,54.87057396
4073,1.827461754,2.302363675,7314114.397,124.5288928,42.46353935
4276,0.275358271,0.122938684,12723002.74,146.9867749,-29.34099072
4364,4.380036813,5.881727247,3469202.823,78.71481329,36.19181514
4372,1.017525438,1.164985518,5733408.627,99.37606482,20.36802369
4379,0.035972223,-0.213331705,11286254.81,-62.32068632,4.53345902
4441,1.549166719,1.910800927,5410348.147,17.62937397,-14.30066122
4544,2.660495281,3.469074226,12822525.23,-58.72742519,-37.60847846
4584,0.108001842,-0.111884653,2180311.23,42.78220192,8.127972805
4603,1.179300716,1.390845914,12437798.1,141.5968832,-34.69497692
4656,0.077083334,-0.155676371,11014883.73,-60.52405575,6.333885882
4669,2.966292092,3.896976293,15415001.27,174.8345487,-41.09441287
4680,2.772762052,3.628570273,11951901.81,-96.45666712,33.97684583
4705,0.633148459,0.624411963,11535983.39,132.6137303,-31.67419348
4785,0.519212143,0.464923248,4306649.144,7.74790584,8.127972805
4794,3.355793679,4.44615773,5771413.388,102.969326,30.15333299
4816,1.701132091,2.124625907,4172977.412,22.12095039,62.75259407
4845,1.039381722,1.196497493,5527767.214,26.61252681,-19.48764166
4846,0.829074945,0.90204147,13012623.26,-107.2364505,28.57963469
4862,2.025967425,2.581099048,5467552.557,100.2743801,32.46685781
4869,2.11500301,2.704753391,1281067.386,33.79904908,36.24771131
4916,1.370653333,1.659859994,11792238.12,-52.4392182,-25.33104167
4954,4.169697032,5.586482291,4504553.922,32.9007338,-11.65802482
4970,2.249107398,2.891803578,14093355.08,-73.10046973,-39.72110273
4974,2.910201035,3.821408479,2613488.623,38.2906255,51.07786445
4983,0.872530104,0.961654954,5490724.767,35.06104688,-21.18220445
4998,2.063106134,2.630657676,5526361.405,46.37546306,-22.02227995
5018,0.584767613,0.557127425,11450694.63,-53.33753348,-16.04546807
5036,1.17931033,1.390425435,14349472.88,166.7497111,-22.02227995
5045,2.949385991,3.874555868,989841.3749,36.49399493,34.72190291
5152,0.618124998,0.60455919,5825202.011,106.5625871,49.86140238
5184,0.495295922,0.433338232,4205731.201,86.79965084,39.04931339
5236,3.332826929,4.414143544,7137406.158,121.2283451,39.52846418
5250,2.356951912,3.04542843,10760614.75,-94.66003655,46.32592291
5278,1.18746841,1.402787762,3528135.638,67.93502988,53.82100625
5286,2.582772765,3.3624855,2444450.849,21.2226351,40.43620685
5316,0.043333332,-0.202740356,12719798.77,-84.77856842,14.33245432
5330,1.008845647,1.152382728,7000055.829,23.01926567,-32.43921198
5354,0.168157038,-0.026479284,3928695.951,30.20578794,-5.401677201
5469,1.173177123,1.382816483,9377252.088,-72.20215445,48.75837299
5477,0.689999998,0.705398939,5760027.58,105.6642718,48.98627579
5511,0.895911899,0.994968069,1322825.675,42.78220192,39.7462773
5542,0.788302342,0.843391632,4349596.865,23.01926567,-6.30126233
5546,2.529908117,3.285044911,9031084.713,-64.11731689,46.18208147
5558,0.737141321,0.772402116,5528921.072,22.12095039,-17.77494155
5680,0.793284186,0.851649191,6579767.549,116.4440552,46.94469194
5731,0.879778543,0.972472414,4881450.824,-8.421769274,41.11907488
5785,1.311901302,1.576789764,4739928.748,88.59628141,55.38530466
5818,0.25548281,0.096207298,10090645.92,-94.66003655,53.82100625
6069,2.958232525,3.888498304,12903924.11,-109.9313964,30.93086991
6130,3.804713488,5.073081951,13858779.24,-68.60889331,-52.72455261
6229,3.864388666,5.159221113,5452347.939,99.37606482,29.36955533
6328,0.858852221,0.941284182,3572923.819,12.23948226,13.45489258
6382,0.685684703,0.698914068,13898232.38,-70.40552388,-41.77045405
6673,0.022170794,-0.231282133,13559635.32,-68.60889331,-33.19773203
6709,0.956591606,1.079825755,4443533.814,26.61252681,-8.989674489
6719,1.363255983,1.64972978,12860671.92,-63.21900161,-26.95256711
6749,1.100952481,1.283321744,10515935.05,-92.86340598,48.16090152
6752,2.944855674,3.868963087,3496732.591,78.71481329,27.78367435
6810,1.664502924,2.071794019,7138346.274,21.2226351,-33.19773203
6816,1.453966994,1.776287419,5074485.99,48.17209363,-17.77494155
6860,1.972031228,2.503095514,6999049.384,25.71421152,-33.19773203
6990,2.263704338,2.912137404,7157614.997,23.01926567,-33.94967734
7009,0.074887132,-0.15831748,3058415.833,16.73105868,15.20655249
7125,0.213333329,0.035938454,6150787.657,99.37606482,10.80339589
7134,1.524341578,1.875250255,3530313.727,37.39231022,-3.598665039
7138,1.527623157,1.880131409,12387548.17,-55.13416405,-33.94967734
7154,1.744166682,2.184347061,4187187.317,26.61252681,63.96250188
7188,0.062783075,-0.174354893,4204957.103,83.20638971,50.50850028
7233,2.378581745,3.074592613,3159199.391,75.12155215,26.98178314
7234,1.295295501,1.554795487,4982220.867,92.04760927,21.21278221
7275,0.72958332,0.760797995,4485805.187,39.18894078,-12.54203224
7301,0.026746236,-0.223825929,6248213.661,111.9524788,46.32592291
7306,1.562017726,1.929081803,2974756.23,48.17209363,54.34915586
7338,0.601565379,0.581208624,7918276.414,123.6788634,24.31610901
7388,1.892481923,2.393766766,2020449.504,33.79904908,44.42683895
7404,4.93636348,6.66144836,5920882.737,15.8327434,-18.63347536
7447,3.733644117,4.9740032,13640883.91,-69.50720859,-33.19773203
7480,0.417957637,0.323651265,2674831.932,57.15524647,49.34878108
7549,3.750691251,5.002036649,2809783.812,21.2226351,46.32592291
7593,4.191824419,5.61885352,5977381.902,107.4609024,39.7462773
7615,0.675624998,0.685402938,5489668.931,102.0710107,46.94469194
7638,2.867053136,3.759769629,3598822.779,79.61312857,26.98178314
7662,0.814729422,0.878999295,10463548.1,120.9356316,-30.1249931
7715,0.34430556,0.219169496,11123850.67,-63.21900161,9.022090045
7750,0.182703142,-0.006424353,3844030.488,78.71481329,16.94359866
7805,1.938926186,2.457096601,13300877.44,-65.01563217,-35.43356495
7809,1.592850089,1.973390418,10963707.07,-109.0330811,49.93214842
7828,0.044437135,-0.199916844,7559147.043,130.8170998,49.34878108
7847,2.924530978,3.84100907,7167143.741,123.6305775,45.0670023
7882,1.20404132,1.425481011,13080246.62,150.580036,-30.1249931
7889,1.19631904,1.41594156,6340015.119,25.71421152,-26.95256711
7947,2.334129387,3.011283618,12300742.08,-55.13416405,-31.67419348
7970,0.922235354,1.030372137,12411382,-63.21900161,-16.04546807
8005,0.639999986,0.634762413,6033512.382,100.2743801,15.20655249
8056,1.043564335,1.200216738,11944549.83,136.2069915,-33.94967734
8206,2.013701677,2.562205299,12755192.7,-59.62574047,-33.19773203
8212,1.803672543,2.267065687,11589557.99,-50.64258763,-24.51186634
8356,3.524556962,4.681608729,5940289.136,27.51084209,-23.68725562
8395,1.684980345,2.100792788,13300432.74,-64.11731689,-38.31966386
8537,1.709922839,2.135019811,3462018.185,16.73105868,9.022090045
8556,2.118518488,2.708011536,15421182.19,174.8345487,-39.86449066
8591,0.177958596,-0.011799356,5540297.78,23.91758095,-18.63347536
8679,4.390277844,5.896014617,5460967.639,32.00241851,-20.33727238
8699,1.011789633,1.156211899,11263118.79,-47.94764178,-22.85734615
8759,6.884304774,9.396543887,4797703.05,-3.03187757,55.89339366
8866,1.943872426,2.464087585,13082222.9,-64.11731689,-30.90275818
9006,0.517191742,0.464953188,10622440.6,-92.86340598,46.94469194
9138,0.04018037,-0.205083267,4369950.973,88.59628141,40.43620685
9212,0.687916656,0.70164334,3030364.62,26.61252681,5.434354136
9242,3.033525445,3.992931207,10540452.64,-109.9313964,54.34915586
9286,3.098566882,4.083324797,13966949.13,-72.20215445,-36.89036885
9291,0.346560454,0.22420619,4557010.307,34.69736436,-12.54203224
9349,2.079429591,2.654320301,929246.2716,36.49399493,33.97684583
9368,2.18835115,2.808532645,1780141.724,31.10410323,40.43620685
9371,1.234583348,1.468548917,3079787.484,41.88388664,0.016412769
9452,4.496072046,6.044343187,13386289.25,-112.0137239,26.98178314
9482,0.063672229,-0.174025666,2430728.802,28.40915737,10.80339589
9494,0.142709653,-0.063666917,9942108.046,123.6305775,-16.15232671
9522,1.840680705,2.321676656,11212157.39,-100.9482435,44.42683895
9585,0.02675926,-0.224580552,2701450.311,67.93502988,41.11907488
9598,0.373661591,0.26144192,11951003.11,-51.54090291,-30.90275818
9702,0.29272269,0.147649249,11219778.54,-47.04932649,-23.68725562
9730,6.933378875,9.467163435,4205061.358,1.459698851,47.55634683
9775,0.835833318,0.909981627,4508175.99,37.39231022,-12.54203224
9799,0.291041662,0.145095373,3061681.679,27.51084209,4.53345902
9863,0.092222223,-0.13327179,1815207.348,58.05356175,38.34534672
9899,1.741756777,2.1796763,3199594.759,17.62937397,11.69016253
9924,2.570395679,3.342078544,11232817.85,-50.64258763,-16.91221321
10009,1.907339814,2.412962644,3139778.235,51.76535476,55.38530466
10021,2.579249918,3.35531283,6403158.883,17.62937397,-24.51186634
10031,2.26244715,2.912069993,1698002.203,42.78220192,43.12510269
10155,3.262923983,4.317964083,3044596.425,15.8327434,44.42683895
10288,0.685797084,0.700393209,5592976.588,24.81589624,-19.48764166
10290,2.019666581,2.571061087,12853848.78,-100.0499283,26.1740754
10312,0.611155748,0.594714654,3900805.263,26.61252681,-3.598665039
10340,2.19295666,2.813581777,12836960.74,-61.42237104,-30.90275818
10354,0.517914081,0.464063726,1007949.782,47.27377834,36.19181514
10367,2.130882372,2.728076218,3903368.409,23.01926567,60.17552063
10392,0.939552847,1.055286669,12512857.81,-60.52405575,-24.51186634
10414,1.079798869,1.253884394,11358908.18,-114.4229728,47.55634683
10452,1.016741541,1.163774745,12320613.86,-56.03247933,-30.1249931
10460,1.612369216,2.000154268,1359952.376,35.59567965,38.34534672
10505,1.438841574,1.757410452,6632670.657,111.9524788,29.36955533
10514,0.92954544,1.040785642,5895688.978,98.47774954,14.33245432
10537,0.934218164,1.049043325,4827505.515,93.98617312,39.04931339
10592,4.134204061,5.537615746,10312134.26,-81.18530729,43.12510269
10604,1.649740616,2.052522728,7050266.669,115.5457399,26.98178314
10640,0.137325605,-0.070907601,12317454.27,144.291829,-25.33104167
10642,4.378484889,5.883441577,3203815.596,16.73105868,48.16090152
10670,0.204677975,0.025117707,970506.4608,40.08725607,36.19181514
10693,2.555219597,3.321983712,6064540.435,29.30747266,-25.33104167
10700,0.90622954,1.010024631,6636096.994,117.3423705,47.55634683
10708,0.22640222,0.054284198,2099922.905,36.49399493,9.913968571
10819,1.984234875,2.519905109,10760562.22,-46.15101121,-16.04546807
10834,0.739199994,0.773274451,13536523.34,-77.59204615,-9.881638007
10846,0.267191392,0.111234548,12399924.95,146.9867749,-21.18220445
10855,0.0246,-0.229111331,1961197.388,50.86703948,11.69016253
10896,2.082126742,2.658052646,12654788.31,-57.8291099,-34.86326745
10902,2.169342101,2.781318611,3462640.7,78.71481329,35.46024618
10922,2.349999905,3.034237098,3097997.702,73.32492158,40.43620685
10925,0.384999997,0.276395885,12946696.15,-74.8971003,-3.598665039
10951,1.926065962,2.439161915,12973887.1,-63.21900161,-30.1249931
11003,1.552941154,1.914742927,15385728.73,174.4150222,-39.72110273
11033,0.177455891,-0.013852982,12547386.46,-62.32068632,-21.18220445
11078,0.055898943,-0.184830983,11237247.7,-52.4392182,-13.42297741
11085,0.575069388,0.543902241,13174361.6,-96.45666712,19.87266622
11102,0.024838607,-0.227857244,9363136.4,-73.99878502,50.50850028
11125,3.426032259,4.542117885,8657248.856,143.3935137,44.32095563
11152,2.490142195,3.232414641,2597490.055,35.59567965,50.50850028
11164,2.519551933,3.271111256,919033.2394,34.69736436,31.70207379
11183,0.556363658,0.517812041,2095199.534,64.34176874,31.70207379
11233,0.577876986,0.547254807,4021750.153,13.13779754,5.434354136
11260,1.581616926,1.956862857,2774308.761,45.47714777,52.74434452
11267,2.660495281,3.469135294,13204935.74,-63.21900161,-37.60847846
11332,0.976441313,1.108342907,12127297.45,-93.76172127,30.15333299
11425,2.660495281,3.469260023,12727255.65,-58.72742519,-34.69497692
11455,1.73173674,2.167839871,4333581.15,-2.133562286,37.63441344
11486,0.678000027,0.688787248,2451057.02,67.93502988,33.22514052
11570,2.16368277,2.772279473,12577729.01,-60.52405575,-26.14465047
11607,1.087646129,1.263825443,12979587.5,-100.9482435,25.36067104
11651,0.768750012,0.814952086,2881381.123,44.57883249,1.824838998
11765,0.052916666,-0.188814929,3198707.31,26.61252681,3.63142439
11832,1.127877457,1.319066208,3993025.526,75.12155215,55.38530466
11870,0.086590908,-0.141641095,3888490.676,18.52768925,1.824838998
11946,0.574999998,0.54412478,4566181.073,89.49459669,48.16090152
11956,0.442037496,0.358162858,1168219.319,43.6805172,38.34534672
11966,1.919777178,2.430681061,12999948.51,-100.0499283,24.54169549
11992,1.801217804,2.263021944,2926082.926,19.42600453,13.45489258
12050,0.271058657,0.117863971,6606331.801,18.52768925,-26.95256711
12100,0.758282328,0.801809777,6287632.124,112.8507941,48.75837299
12142,0.046534811,-0.197933762,12243798.38,-62.32068632,-14.30066122
12167,0.247685954,0.083614603,11052048.18,-61.42237104,7.231832141
12187,0.620520931,0.606773893,13217900.8,-76.69373087,-5.401677201
12346,0.041148195,-0.205534347,4993189.507,93.08785783,54.87057396
12349,0.110486113,-0.108739368,11667349.19,-66.81226274,5.434354136
12392,1.54204753,1.901828154,7034138.512,122.7322622,47.55634683
12402,2.362201372,3.052596222,7171943.703,122.7322622,42.46353935
12408,3.855743711,5.146532278,3896415.464,82.30807442,43.12510269
12445,2.680939623,3.500761558,3552106.054,23.01926567,56.39488812
12532,1.461795,1.786975726,12697857.64,146.0884596,-30.90275818
12565,1.26713615,1.514756465,4028912.718,80.51144385,50.50850028
12570,0.42659339,0.335634145,12788254.03,-64.11731689,-22.85734615
12618,1.4996301,1.841831987,4976730.628,32.9007338,-16.04546807
12729,0.176325692,-0.01605128,13201210.46,147.8850902,-42.43939291
12737,0.353108371,0.232494685,12633810.09,-63.21900161,-21.18220445
12857,2.081544527,2.657750276,7056687.114,114.6474247,24.54169549
13066,1.087422772,1.261890166,2677308.33,43.09818989,3.631447602
