Fishnet_ID,mean_potat,AET_mean,GDP_Mean,Pesticide,potato_Fe
71401,0,144.7113095,2161.113229,211358,0
71408,22.5434,271.2380952,23616.9058,271772,0
71411,12.72,270.6190476,990.4634249,8940649,54.1979
71415,13.313,386.4642857,990.4634249,8940649,67.1389
71430,0.623427,302.0119048,1498.638251,32248,0
71435,17.7752,391.797619,4768.79324,61911,0
71441,3.88043,157.360119,2161.113229,211358,0
71443,7.43,43.82142857,520.5689219,812,0
71448,28.0786,NA,34632.47003,536152,0
71457,8.64042,113.5595238,1498.638251,32248,15.3448
71467,16.6561,444.2678571,990.4634249,8940649,0
71476,11.3174,240.8005952,2161.113229,211358,17.2278
71479,7.72658,191,2161.113229,211358,0
71480,9.61083,366.514881,2161.113229,211358,0
71482,0,191.4404762,1498.638251,32248,0
71483,10.6321,137.0892857,1498.638251,32248,0
71490,12.2498,604.8035714,23616.9058,271772,0
71494,3.73049,407.6071429,2161.113229,211358,0
71499,10.9208,NA,829.1960761,191406,0
71500,7.21926,150.452381,1498.638251,32248,15.9638
71503,10.8327,618.5119048,23616.9058,271772,0
71511,11.408,421.6011905,990.4634249,8940649,0
71514,18.9348,440.2202381,4768.79324,61911,0
71515,8.13352,153.4583333,2161.113229,211358,0
71516,30.9365,NA,28743.93051,15997,0
71523,10.8544,132.7559524,1498.638251,32248,3.2394
71525,1.99018,95.44642857,2161.113229,211358,0
71528,10.5281,129.235119,1498.638251,32248,0
71529,2.98461,362.7678571,2161.113229,211358,0
71532,1.11915,222.4464286,2161.113229,211358,0
71534,3.27125,42.92857143,520.5689219,812,0
71537,31.5138,516.9196429,26995.46659,23608,0
71548,10.7989,355.1190476,1419.803631,34279,73.1926
71550,1.74619,249.1607143,2161.113229,211358,0
71551,5.23088,528.1696429,5799.853269,18628,0
71554,7.85801,213.0357143,2161.113229,211358,0
71557,1.73414,397.547619,26547.85055,9159,0
71559,3.65981,366.6190476,23616.9058,271772,0
71560,20.0272,526.6607143,4768.79324,61911,40.4391
71569,3.13698,350.9613095,23616.9058,271772,0
71570,30.5962,464.3571429,29141.21247,234122,0
71572,12.5751,202.8392857,990.4634249,8940649,0
71577,0.480385,509.1130952,23616.9058,271772,0
71578,9.89419,134.2857143,2161.113229,211358,16.6447
71579,40.9494,492.6190476,29141.21247,234122,0
71581,16.7508,470.5833333,24631.38853,686791,0
71584,6.4698,268.5416667,1498.638251,32248,0
71585,10.1659,177.4166667,2161.113229,211358,18.3146
71587,0.813924,216.0952381,2161.113229,211358,0
71588,2.86804,221.5357143,2161.113229,211358,0
71593,11.5121,341.7222222,26995.46659,23608,0
71598,2.67928,383.7202381,2161.113229,211358,0
71599,9.76268,385.5178571,2161.113229,211358,0
71603,1.6426,NA,2161.113229,211358,0
71604,1.02853,406.2410714,2161.113229,211358,0
71608,6.4852,566.297619,23616.9058,271772,0
71613,18.5478,NA,22350.24783,586193,0
71632,0,50.08928571,990.4634249,8940649,0
71633,2.88538,378.5238095,2161.113229,211358,0
71638,0,161.7083333,35687.73944,2968759,0
71642,0.819318,553.547619,35687.73944,2968759,0
71645,0,170.4107143,35687.73944,2968759,0
71649,0.530766,22.36309524,990.4634249,8940649,0
71653,12.6889,429.1934524,4720.926538,1880,0
71655,11.1116,226.4107143,2161.113229,211358,0
71657,26.6915,580.1845238,24631.38853,686791,0
71664,16.9628,448.9404762,35687.73944,2968759,0
71670,9.46934,138.2916667,2161.113229,211358,0
71671,4.28128,400.0059524,2161.113229,211358,0
71675,5.24867,318.6785714,829.1960761,191406,22.6461
71687,12.5088,NA,24631.38853,686791,0
71698,13.1398,429.5357143,829.1960761,191406,17.8337
71700,12.6789,498.7053571,23616.9058,271772,0
71703,8.33158,579.5238095,829.1960761,191406,16.2016
71707,6.04734,453.6547619,23616.9058,271772,0
71719,31.5717,291.9642857,35687.73944,2968759,0
71733,6.03913,464.625,23616.9058,271772,0
71735,3.39618,220.8690476,2161.113229,211358,0
71738,14.7318,466.1785714,23616.9058,271772,0
71739,3.16888,245.3125,1498.638251,32248,0
71741,0,413.0297619,30849.12253,12948,0
71742,6.56848,395.8154762,2350.55161,0,0
71745,4.19701,192.6607143,520.5689219,812,0
71749,32.4482,168.3392857,35687.73944,2968759,0
71759,0.150571,385.1904762,2161.113229,211358,0
71769,10.7773,179.202381,2161.113229,211358,0
71774,17.2158,512.1220238,990.4634249,8940649,0
71775,0,130.2708333,1498.638251,32248,0
71780,5.62375,427.735119,2161.113229,211358,0
71784,17.8831,567.6190476,23616.9058,271772,0
71794,5.22746,378.2797619,2161.113229,211358,21.3313
71801,7.63054,269.514881,2161.113229,211358,0
71803,31.8927,260.7678571,23616.9058,271772,0
71806,7.08955,199.2916667,990.4634249,8940649,0
71816,6.11752,384.5595238,2161.113229,211358,0
71819,4.53416,388.9791667,2161.113229,211358,0
71830,0.570968,268.9940476,2161.113229,211358,0
71833,1.00939,215.5863095,2161.113229,211358,0
71847,7.43,58.13690476,520.5689219,812,1.40091
71851,29.7543,502.0238095,35687.73944,2968759,87.3595
71853,22.5357,544.2380952,35687.73944,2968759,0
71862,0.508703,212.3333333,2161.113229,211358,0
71869,2.41565,507.7857143,23616.9058,271772,0
71878,0.704565,466.9047619,23616.9058,271772,0
71880,18.1493,480.5079365,29141.21247,234122,0
71881,23.91,578.3690476,34632.47003,536152,0
71895,12.1618,310.5238095,990.4634249,8940649,0
71905,6.97386,NA,829.1960761,191406,0
71909,4.16334,474.9583333,23616.9058,271772,0
71915,18.1226,35.76190476,990.4634249,8940649,0
71916,8.18146,170.6130952,1498.638251,32248,4.0254
71921,10.4821,363.9404762,23616.9058,271772,0
71922,6.80124,174.0565476,2161.113229,211358,17.3331
71924,39.3508,606.1190476,24631.38853,686791,24.8803
71928,32.6013,NA,22350.24783,586193,0
71930,10.3959,101.2202381,1498.638251,32248,2.70456
