Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
339,NA,NA,NA,NA,0.02086578
340,NA,NA,NA,NA,0.015120836
341,NA,NA,NA,NA,0.02727161
342,NA,NA,NA,NA,0.018499161
343,NA,NA,NA,NA,0.019427609
344,NA,NA,NA,NA,0.028661185
345,NA,NA,NA,NA,0.024904335
346,NA,NA,NA,NA,0.023742351
347,NA,NA,NA,NA,0.012869964
348,NA,NA,NA,NA,0.018216262
349,NA,NA,NA,NA,0.019011873
350,NA,NA,NA,NA,0.0235236
351,NA,NA,NA,NA,0.022032344
352,NA,NA,NA,NA,0.027626736
353,NA,NA,8.602941176,NA,0.018102797
354,NA,NA,NA,NA,0.035356711
355,NA,NA,NA,NA,0.024148034
356,0.300769234,685.0357143,NA,387.1450508,4.517168266
357,NA,NA,NA,NA,0.035611671
358,NA,NA,NA,NA,0.024056245
359,NA,NA,26.33333333,NA,0.037705555
360,NA,NA,8,NA,0.044559013
361,NA,NA,NA,NA,0.022128512
362,NA,NA,NA,NA,0.038446916
363,0.531077526,783.625,NA,454.770298,75.28485181
364,NA,NA,NA,NA,0.020253734
365,NA,NA,NA,NA,0.023873277
366,NA,NA,NA,NA,0.032432317
367,NA,NA,NA,NA,0.018294569
368,NA,NA,NA,NA,0.019698272
369,NA,NA,NA,NA,0.018679425
370,NA,NA,NA,NA,0.0209964
371,NA,NA,NA,NA,0.024022561
372,NA,NA,NA,NA,0.018949985
373,NA,NA,9.890909091,NA,0.028514231
374,NA,NA,NA,NA,0.027000111
375,NA,NA,NA,NA,0.043876735
376,1.539999962,528.6666667,NA,3807.754204,24.98551716
377,NA,NA,NA,NA,0.020686849
378,NA,NA,NA,NA,0.037063185
379,NA,NA,NA,NA,0.029179514
380,NA,NA,NA,NA,0.029006995
381,NA,NA,NA,NA,0.025257295
382,NA,NA,NA,NA,0.037906989
383,NA,NA,NA,NA,0.021940965
384,NA,NA,NA,NA,0.018901041
385,NA,4.392857143,NA,NA,0.025924424
386,NA,NA,NA,NA,0.023915892
387,NA,NA,NA,NA,0.025877251
388,NA,NA,0.375,NA,0.017424894
389,NA,NA,NA,NA,0.033281212
390,NA,NA,8.709090909,NA,0.020358611
391,NA,316.75,NA,23616.9058,0.158169171
392,NA,NA,NA,NA,0.030260713
393,1.126893939,600.7827381,NA,1627.976264,95.7288157
394,NA,NA,NA,NA,0.037603495
395,NA,NA,7,NA,0.037249932
396,NA,NA,NA,NA,0.025072216
397,NA,NA,NA,NA,0.034482872
398,NA,432.6547619,NA,2161.113229,1.416142106
399,NA,NA,NA,NA,0.042748345
400,NA,NA,NA,NA,0.024727861
401,NA,NA,NA,NA,0.030360765
402,NA,NA,NA,NA,0.020150005
403,NA,NA,NA,NA,0.031771989
404,NA,NA,NA,NA,0.042324999
405,NA,NA,NA,NA,0.035635153
406,NA,NA,NA,NA,0.023875002
407,NA,NA,NA,NA,0.021016292
408,NA,NA,NA,NA,0.020514876
