Groot_Taxon,Taxon,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration
Campanula sibirica,Campanulasibirica,Groot,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,
Campanula trachelium,Campanulatrachelium,Groot,,,3,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,
Campanula trautvetteri,Campanulatrautvetteri,Groot,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,
Campanula tridentata,Campanulatridentata,Groot,,,,,,,,465.9787411,50.9298568,,,,,,,,,,,,,,400,9.149421784,,,,,,,,,,,,,39.61999999,
Camphorosma monspeliacum,Camphorosmamonspeliacum,Groot,,,,,,,,,,,,,,,,,,,,,,,,15.8,10.53333333,1.5,,,,,,,,,,,,
Canarium album,Canariumalbum,Groot,,,,2.468768191,,,15.692,584.04,25.28311688,,87.04,,,,,,,,,,,,,109.1,,,,46.41,0.069352713,1.136834438,,,4.38,4900,,,383.1248876,
Canarium tonkinense,Canariumtonkinense,Groot,,,,0.17623,,,,,,,,,,,,,,,,,,,22,,,,,46.41,0.069352713,0.13,,,,,,,130.88,
Cannabis sativa,Cannabissativa,Groot,,,,,,,,,,,,,,,,,,,,0.114,,,80,,,,,,,,,,,,,,,
Capparis aphylla,Capparisaphylla,Groot,,,,,,,,,,,,,,,,,,,,,,,,2.7,27,0.1,,,,,,,,,,,,
Capparis prisca,Capparisprisca,Groot,175.6225511,0.485634371,,,,,,,,,,,,,,,,,,8.109857318,,,,,,,,,,,,,,,,,,
Capparis yco,Capparisyco,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Capsella bursa-pastoris,Capsellabursa-pastoris,Groot,,,,0.134866667,,,,,,,,,,,,,,,,2.02065731,,,,,,,,,,0.316666667,,,,,,1129.873396,266.0227222,
Capsicum annuum,Capsicumannuum,Groot,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,
Capsicum anuum,Capsicumanuum,Groot,,,,0.955,,,,,,,,,,,,,,,,0.586,,,,,,,,,,0.138,,,,,,,169.747,
Capsicum baccattum,Capsicumbaccattum,Groot,,,,0.871,,,,,,,,,,,,,,,,0.744,,,,,,,,,,0.107,,,,,,,256.981,
Caragana arborescens,Caraganaarborescens,Groot,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
Caragana korshinskii,Caraganakorshinskii,Groot,,,,,,,,,,,,,,,,,,,,1.81,,,,46.38,,,,,,,,,,,,,26.44,
Caragana microphylia,Caraganamicrophylia,Groot,,,,,,,,,,,,,,,,,,,,,,,,30.33,,,,,,,,,,,,,7.29,
Caragana microphylla,Caraganamicrophylla,Groot,,,,15.79,,,,1634.680435,93.4977855,,,,,,,525,,,,,,,,130.8938564,,,,,1.39,,,,39.92,,,,31.23,102.07
Caragana pygmaea,Caraganapygmaea,Groot,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,
Caragana spinosa,Caraganaspinosa,Groot,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Caragana stenophylla,Caraganastenophylla,Groot,,,,0.9725,,,,,,,,,,,,,,,,,,,0.288,,,,,,,,,,,,,,,
Carallia brachiata,Caralliabrachiata,Groot,,,,0.42852,,,2.58,467.79,27.64716312,,138.79,,,,,,,,,,,,44,16.92,,,,87.72,0.083807918,0.42,,,3.7,3509.7,,,218.48,
Caralluma ,Caralluma,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Carapa guianensis,Carapaguianensis,Groot,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,
Cardamine amara,Cardamineamara,Groot,,,13,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cardamine bellidifolia,Cardaminebellidifolia,Groot,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine microphylla,Cardaminemicrophylla,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cardamine oligosperma,Cardamineoligosperma,Groot,,,,,,,,5568,1392,,,,,,,,,12.813,,,,,,48,,,,,,,,,,,,,,
Cardamine pratensis,Cardaminepratensis,Groot,,,10.5,2.137959003,256.664581,,,1178.045228,67.49197973,,,,,113.2017359,,,,,0.001141443,1.396964519,,,,53.47296317,,,,394.393,0.340680558,0.449166667,,,,,,28894.71335,7039.143892,
Cardamine trifida,Cardaminetrifida,Groot,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine trifolia,Cardaminetrifolia,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine uliginosa,Cardamineuliginosa,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cardiospermum halicacabum,Cardiospermumhalicacabum,Groot,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,
Carduus defloratus,Carduusdefloratus,Groot,,,,,,,,,,,,,,,,,,9.405876039,,,,,,5.6,,,,,,,,,,,,,96,
Carduus nutans,Carduusnutans,Groot,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
Carduus personata,Carduuspersonata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carduus thoermeri,Carduusthoermeri,Groot,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
Carex ,Carex,Groot,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,0.549,,,,,,
Carex acuta,Carexacuta,Groot,,,19.2,0.149,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,
Carex acutiformis,Carexacutiformis,Groot,,,13.5,0.2205,,,,,,,,,,,,,,,,1.753059548,,,,12.3,4.285714286,2.87,,,,0.415116279,,,,,,356.8345983,52.46271982,
Carex alba,Carexalba,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex albonigra,Carexalbonigra,Groot,,,,4.7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.9045744,
Carex annectens,Carexannectens,Groot,,,,0.1756,,,,,,,,,,,,,,,,0.440899795,,,,,,,,,,0.33214286,,,,,,,124.298065,
Carex appropinquata,Carexappropinquata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex aquatilis,Carexaquatilis,Groot,,41.2,13,0.1668,,,,,,,,,,,,,,,,,,,0,25.6,,4.4,,,,,,,,,2.04,,,
Carex arenaria,Carexarenaria,Groot,,,26.7,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,
Carex aristata,Carexaristata,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex arnellii,Carexarnellii,Groot,,,,0.1243,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,
Carex atherodes,Carexatherodes,Groot,,,6.8,0.0911,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,
Carex atrata,Carexatrata,Groot,,,0.5,,,,,428.6072307,37.92860642,,,,,,,,,,,,,,0,11.30036856,,,,,,,,,,,,,183.33,
Carex atrofusca,Carexatrofusca,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex baccans,Carexbaccans,Groot,,,,,,,,,,,,,,,,,,,,,,,53.7,,,,,,,,,,,,,,,
Carex baldensis,Carexbaldensis,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bigelowii,Carexbigelowii,Groot,,58.8,9.6,0.1203,,,,431.9,36.04,,,,,,,,139.8,,,4.15,,,0,367.46,,,12.5,,,,530.7,,,,0.6,,,
Carex binervis,Carexbinervis,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bohemica,Carexbohemica,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bostrychostigma,Carexbostrychostigma,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex brachystachys,Carexbrachystachys,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex brizoides,Carexbrizoides,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens,Carexbrunnescens,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex buekii,Carexbuekii,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex buschiorum,Carexbuschiorum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex buxbaumii,Carexbuxbaumii,Groot,,,6.8,0.1335,,,,,,,,,,,,,,,,,,,34.2,,,,,,,,,,,,,,,
Carex canescens,Carexcanescens,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex capillaris,Carexcapillaris,Groot,,,0.5,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,
Carex capitata,Carexcapitata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex cariophyllea,Carexcariophyllea,Groot,,,,,,,,,,,,,,,,,,,,0.417249417,,,,,,,,,,,,,,,,,,
Carex caryophyllea,Carexcaryophyllea,Groot,,,8.8,0.0784,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,
Carex caucasica,Carexcaucasica,Groot,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Carex cespitosa,Carexcespitosa,Groot,,,0.5,0.1198,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,
Carex chordorrhiza,Carexchordorrhiza,Groot,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex colchica,Carexcolchica,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex concolor,Carexconcolor,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex contigua,Carexcontigua,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex crinata,Carexcrinata,Groot,,,,,,,,4955.522728,596.3916705,,,,,,,,,,,,,,,114.7031486,,,,,,,,,,,,,419.7405727,
Carex crinita,Carexcrinita,Groot,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,
Carex curvata,Carexcurvata,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex curvula,Carexcurvula,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex davalliana,Carexdavalliana,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex demissa,Carexdemissa,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex depauperata,Carexdepauperata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex diandra,Carexdiandra,Groot,,,0.5,,,,,,,,,0.3212,,,,,,,,1.64,,,,,,,,,,,,,,,,,,
Carex digitata,Carexdigitata,Groot,,,0.5,0.0893,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Carex diluta,Carexdiluta,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex dioica,Carexdioica,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex distans,Carexdistans,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex disticha,Carexdisticha,Groot,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex divisa,Carexdivisa,Groot,,,,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,0.33,,
Carex divulsa,Carexdivulsa,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex doisutepensis,Carexdoisutepensis,Groot,,,,0.656,,,,400.5,82.57731959,,,0.2168,,,,,71.4,,,,,,,4.85,,,,,,,712.5,,,,,,23.05,10.2
Carex duriuscula,Carexduriuscula,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.09,
Carex echinata,Carexechinata,Groot,,,3.6,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex elata,Carexelata,Groot,,,4.7,0.1398,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex eleocharis,Carexeleocharis,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,,,
Carex elongata,Carexelongata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex enervis,Carexenervis,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex ericetorum,Carexericetorum,Groot,,,4.7,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex extensa,Carexextensa,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex ferruginea,Carexferruginea,Groot,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex filifolia,Carexfilifolia,Groot,,,,0.181971429,,,,,,,,,,,,,,,,,,,,,,,,,,0.510912698,,,,,,,107.557439,
Carex firma,Carexfirma,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex flacca,Carexflacca,Groot,,,9.4,4.5775745,,19.69007603,,902.2,112.5187032,,,0.4574,,23.5957566,,,140.1,,0.00000046,36.16737944,,,,14.87,,,,662.5,0.529699338,1.295905241,1411.2,,,,,770.8052632,1888.77935,2.53
Carex flava,Carexflava,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex frigida,Carexfrigida,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex fritschii,Carexfritschii,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex fuliginosa,Carexfuliginosa,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex fusca,Carexfusca,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex gaudichaudiana,Carexgaudichaudiana,Groot,,,,,,373.8246096,,,,,,31.08697018,,,,,,,,,,,,,,,,,,20.87512628,,,,,,,3176.077559,
Carex geophila,Carexgeophila,Groot,,,,,,,,437.3593521,70.16514522,,,,,,,,,,,,,,,6.233285069,,,,,,,,,,,,,140.3243701,
Carex geophylla,Carexgeophylla,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,23.43,
Carex geyeri,Carexgeyeri,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,
Carex globularis,Carexglobularis,Groot,,,,0.1162,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex goodenoughii,Carexgoodenoughii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex griffithii,Carexgriffithii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex halleriana,Carexhalleriana,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex hartmanii,Carexhartmanii,Groot,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes,Carexheleonastes,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex hirta,Carexhirta,Groot,,,9.8,0.0947,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex hordeistichos,Carexhordeistichos,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex hostiana,Carexhostiana,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex huetiana,Carexhuetiana,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex humilis,Carexhumilis,Groot,,,0.5,2.469,,,,909.9,87.31285988,,,0.8771,,0.35,,,233.6,,0.00000055,0.45,,,65,10.41,,,,760.12,0.615093952,0.429,1358.3,,,,0.6983,426.93,342.97,3.42
Carex hyperborea,Carexhyperborea,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex interior,Carexinterior,Groot,,,,,,,,4948.545837,421.0125371,,,,,,,,,,,,,,,154.1404128,,,,,,,,,,,,,447.4960929,
Carex juncella,Carexjuncella,Groot,,,,0.1397,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Carex laevigata,Carexlaevigata,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex lasiocarpa,Carexlasiocarpa,Groot,,,6.8,0.23,,,,832.54,81.64,,,,,,,,,5.564,,0.91,,,0,20.4,,1.6,,,,0.09,,,,,,,252,
Carex laxa,Carexlaxa,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex leporina,Carexleporina,Groot,,,0.5,,,64.62964743,,,,,,5.718871769,,,,,,,,,,,0,,,,,,,3.695875062,,,,,,,502.0851224,
Carex limosa,Carexlimosa,Groot,,,6.8,0.2834,,,,,,,,,,,,,,,,1.44,,,0,,,,,,,,,,,,,,,
Carex liparocarpos,Carexliparocarpos,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex loliacea,Carexloliacea,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex lupulina,Carexlupulina,Groot,,,,,,,,5098.652344,553.0832552,,,,,,,,,,,,,,,114.7070324,,,,,,,,,,,,,389.0529711,
Carex lurida,Carexlurida,Groot,,,,,,,,4949.022331,575.5363369,,,,,,,,,,,,,,,111.1665285,,,,,,,,,,,,,310.2856996,
Carex magell-anica,Carexmagell-anica,Groot,,,,0.1363,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Carex magellanica,Carexmagellanica,Groot,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex medwedewii,Carexmedwedewii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex meinshauseniana,Carexmeinshauseniana,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex melanantha,Carexmelanantha,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.55,,,
Carex melanostachya,Carexmelanostachya,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex meyeriana,Carexmeyeriana,Groot,,,,,,,,856.844,78.04,,,,,,,,,5.531,,,,,,22,,1.7,,,,,,,,,,,,
Carex michelii,Carexmichelii,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex microglochin,Carexmicroglochin,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex mollissima,Carexmollissima,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex montana,Carexmontana,Groot,,,0.5,0.0857,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex moorcroftii,Carexmoorcroftii,Groot,,,,0.58,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.66,0.32278,
Carex mucronata,Carexmucronata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex muricata,Carexmuricata,Groot,,,26.5,0.188633333,,,,,,,,,,,,,,,,0.752407153,,,0,,,,,,,0.520952381,,,,,,361.0075789,60.48406646,
Carex myosurus,Carexmyosurus,Groot,,,,,,,,,,,,,,,,,,,,,,,47.71,,,,,,,,,,,,,,,
Carex nardina,Carexnardina,Groot,,,,,,,,,,,,,,,,,,,,,,,,13.7,2.392857143,14.6,,,,,,,,,,,,
Carex nebrascensi,Carexnebrascensi,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,
Carex nigra,Carexnigra,Groot,,12.9,8.8,0.7263,,,,954.338897,143.6043867,1.402675307,,0.402,20.59987537,,,,102,,,1.49,,,0,13.29725184,,4.396189301,,,,,,,,,,900,18.28,
Carex norvegica,Carexnorvegica,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex obtusata,Carexobtusata,Groot,,,6.8,0.236811111,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.571034043,,,,,,,101.4145355,
Carex oederi,Carexoederi,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex orbicularis,Carexorbicularis,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex oreophila,Carexoreophila,Groot,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,469.2000002,
Carex ornithopoda,Carexornithopoda,Groot,,,0.5,0.7846,,28.60302412,,,,,,,,,,,,,,,,,,,,,,,,0.891835086,,,,,,,3766.538508,
Carex otrubae,Carexotrubae,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pachystylis,Carexpachystylis,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pallescens,Carexpallescens,Groot,,,0.5,0.095,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex panicea,Carexpanicea,Groot,,,8,0.1828,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Carex paniculata,Carexpaniculata,Groot,,,0.5,,,,,3679.632,364.32,,,,,,,,,20.05104,,,,,,80.8,,,,,,,,,,,,,,
Carex parviflora,Carexparviflora,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pauciflora,Carexpauciflora,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pediformis,Carexpediformis,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,299.75,
Carex pendula,Carexpendula,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pennsylvanica,Carexpennsylvanica,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9144,,,
Carex physodes,Carexphysodes,Groot,,,,,,,,,,,,,,,,,,,,,,,0,9.2,18.4,0.5,,,,,,,,,,,,
Carex pilosa,Carexpilosa,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pilulifera,Carexpilulifera,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex polyphylla,Carexpolyphylla,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex praecox,Carexpraecox,Groot,,,13.4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pseudobrizoides,Carexpseudobrizoides,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pseudocyperus,Carexpseudocyperus,Groot,,,0.5,0.1315,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,
Carex pseudofoetida,Carexpseudofoetida,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex pulicaris,Carexpulicaris,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex punctata,Carexpunctata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pyrenaica,Carexpyrenaica,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex rariflora,Carexrariflora,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex remota,Carexremota,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex repens,Carexrepens,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex rhizina,Carexrhizina,Groot,,,,0.0844,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex rhyncho-physa,Carexrhyncho-physa,Groot,,,,0.1037,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,
Carex rhynchophysa,Carexrhynchophysa,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex riparia,Carexriparia,Groot,,,6.8,,,,,3543.84,385.2,,,,,,,,,16.92918857,,,,,,73.6,,,,,,,,,,,,,,
Carex rostrata,Carexrostrata,Groot,,,6.8,0.1035,,,,1815.123254,286.0395491,,,0.20328849,,,,,71.7303104,2.560059461,,0.85,,,2.3,27.72727725,,0.788511684,,,,,,1.156,,,,,,
Carex rotundata,Carexrotundata,Groot,,,,0.1078,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,
Carex rupestris,Carexrupestris,Groot,,,8.8,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Carex saxatilis,Carexsaxatilis,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex schmidtii,Carexschmidtii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex scoparium,Carexscoparium,Groot,,,,,,,,4819.857941,546.2023087,,,,,,,,,,,,,,,120.4332441,,,,,,,,,,,,,500.5399833,
Carex scopulorum,Carexscopulorum,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,0.331,,,,,,
Carex secalina,Carexsecalina,Groot,,,0.5,0.0803,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex sempervirens,Carexsempervirens,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,0,7.66,,,,,,,,,,,,,,
Carex songorica,Carexsongorica,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex spicata,Carexspicata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex stans,Carexstans,Groot,,,,,,,,,,,,,,,,,,,,,,,,10.9,18.16666667,0.6,233.3,,,,,0.283,,,,,,
Carex stenophylla,Carexstenophylla,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Carex stenophylloides,Carexstenophylloides,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
