"","mean_sorgh","sorghum_Fertilizer","GDP","Pesticide","Evapotranspiraton"
"5286",0.181949394334171,1.64244739485195,4.14310945988546,4.86861505347097,2.71985312129424
"5316",0.390758070954296,1.67948342960406,3.02710078567903,4.35326208591632,3.02869322839392
"5330",0.547071493791597,1.70405862800204,3.49225458140176,5.25389021628127,2.27270005678959
"5521",0.598720840450233,2.17527883771082,4.5525312153497,6.47257508985315,2.95129865401609
"5558",0.031561705189483,0.740515441267513,2.78556471767779,2.44870631990508,2.62080208709034
"5680",0.14229133764732,1.32681466079117,2.99627519748262,6.95136909386879,2.48157160770889
"5785",0.281859405564204,1.26691190386159,3.33487778544419,5.32502074550366,2.15109392278506
"5941",0.185892996702233,1.51794931787558,3.58078246723073,5.98977763964001,2.86830933234315
"5998",0.493476890183602,0.609610740204691,2.79622731402944,2.8668778143375,3.08723110487691
"6036",0.118002944925435,1.97556584533831,2.65874573536115,5.50520154772776,2.81976760539526
"6069",0.175298490789225,1.38410915276778,3.82053378768463,5.19781516944518,2.43261658390379
"6229",0.662402428882183,2.00726751817627,2.99627519748262,6.95136909386879,2.67537501188859
"6328",0.23960822882437,1.62876371913424,2.36250132392901,2.39269695325967,2.55999036520945
"6585",0.382562393567612,1.76106746492056,3.80950247825765,5.78923793550226,3.00026483886632
"6719",0.590538997221546,0.974235034534829,3.80950247825765,5.78923793550226,2.74997580697766
