"","X10...sorgh.predict...sorgh.data.mean_sorgh....1."
"602",0.105250838044927
"603",0.193007047387057
"604",0.129383407473123
"605",0.0976746654015085
"606",0.10587406205423
"607",0.087103332023291
"608",0.0986018154729271
"609",0.103321213470984
"610",0.112600156479106
"612",0.108509365973713
"613",0.0811357591997974
"614",0.0929239795136129
"615",0.0846754000778732
"616",0.0917952983202823
"617",0.112670553883602
"618",0.0935950107657318
"619",0.0965892878516173
"620",0.0855831474784259
"621",0.0914464569265716
"622",0.0995465690403226
"623",0.11909576811392
"624",0.123523724605572
"625",0.155873804927729
"626",0.08569864775149
"627",0.0987336733654015
"628",0.0891695034583315
"629",0.122445440713083
"630",0.108163764283129
"631",0.15343530984998
"632",0.111754139368472
"633",0.114636195179666
"635",0.0870364687479864
"636",0.0787642719865228
"637",0.102042840976824
"639",0.0811877941132355
"640",0.0808791023097469
"641",0.131718864677219
"642",0.0971768014917804
"643",0.229483467628017
"645",0.0888666006414415
"646",0.189923238630007
"647",0.125303353981526
"648",0.0935464515972018
"649",0.110157479521332
"650",0.103987792291074
"651",0.101027989276572
"652",0.127948052056847
"653",0.108435397247974
"654",0.103885156206913
"655",0.132012227355829
"656",0.101476480912326
"657",0.0964220416780258
"658",0.098694387840898
"660",0.0898543446052599
"661",0.104986971729278
"662",0.0703218739206779
"663",0.0975567224428765
"664",0.121114486425282
"665",0.147717608025705
"666",0.126535210662559
"668",0.103344673777267
"669",0.0762969282522396
"671",0.074302161152671
"672",0.130685177338204
"673",0.229818391360895
"674",0.105850664828437
"675",0.111174846399225
"676",0.11027999677118
"677",0.134002822031189
"678",0.098185077497673
"679",0.144936758783349
"680",0.0895076826577232
"681",0.102224324922589
"682",0.104962461585401
"683",0.103350142535815
"684",0.0970572977710033
"685",0.170788961708447
"686",0.111679106610229
"687",0.121776150037831
"688",0.187845152269506
"689",0.0997955082315652
"690",0.0846060586601628
"691",0.0941329058065092
"692",0.109070863706257
"694",0.135884289582857
"695",0.105912150502172
"696",0.0956387961625765
"697",0.100923600059383
"698",0.133594214689679
"699",0.103319076880043
"700",0.107678388470822
"701",0.108720202617329
"702",0.0964083277966257
"703",0.0951446597873168
"705",0.087477723657702
"706",0.105447805034646
"707",0.173421728068187
"708",0.128639704097229
"709",0.0958989072146661
"710",0.0886326737183593
"711",0.106124708632371
"712",0.091958453440176
"713",0.0963132539944837
"714",0.121510745619128
"715",0.125115826439539
"716",0.0824310585908422
"717",0.0745049176745847
"718",0.0863445866952348
"719",0.105912466575049
"720",0.0950140180768003
"721",0.10094193695104
"722",0.104804687443941
"723",0.131637844338681
"724",0.101759464872711
"725",0.0974370608420542
"726",0.0893461903145674
"727",0.11387554002265
"728",0.123391403040284
"730",0.100869554692228
"731",0.106312503681731
"732",0.0745473709743395
"733",0.0942209735021539
"734",0.10929274458817
"735",0.0770103270110866
"736",0.0829526178605776
"737",0.103391856488713
"738",0.0998739924713671
"740",0.0827253555064105
"742",0.0873917421183699
"743",0.114805239764193
"744",0.102588216381781
"745",0.0765766260659106
"746",0.111815108723247
"747",0.092847025805141
"748",0.0774494629569958
"749",0.091988362395109
"750",0.107140060210583
"751",0.0626854724719818
"752",0.0953154050329811
"753",0.0704822978171569
"754",0.102941872065169
"755",0.114092660331709
"756",0.0941273610839678
"757",0.0898668685019246
"758",0.104913143548432
"759",0.0996904384547043
"760",0.0919775939038446
"761",0.0773454573461325
"762",0.0997319314473916
"763",0.0723811804040779
"764",0.094921226480772
"765",0.0869985740497358
"766",0.110565068648304
"767",0.163609499027209
"768",0.101786792052196
"769",0.109271418982891
"772",0.0687041105570749
"774",0.0819670517028465
"775",0.10256106653137
"776",0.115893774834586
"777",0.138502041766843
"778",0.0725751924453725
"779",0.106241890137678
"780",0.0915451511619426
"781",0.0789133956655201
"783",0.12110964679338
"784",0.0914780582049619
"785",0.0970542079798044
"786",0.130106535163774
"787",0.108635944919092
"788",0.0888224672059292
"789",0.0890428576529684
"790",0.0785225673352026
"791",0.0990547784554001
"792",0.101587148213346
"793",0.113317081776904
"794",0.0930006496296727
"795",0.121154822191114
"796",0.111322595680446
"797",0.0712602449381452
"798",0.078473345875495
"799",0.10087796947704
"800",0.0587201528547802
"801",0.0800567332921595
"802",0.0692312778347531
"804",0.0750857775659389
"805",0.0771106867082157
"806",0.134102644496237
"808",0.115874427208952
"811",0.0820082124931163
"813",0.105416672726904
"814",0.131174956436153
"815",0.118449801695966
"816",0.10543195216792
"817",0.130202043939911
"818",0.0895897260345477
"819",0.103363106585019
"820",0.124140096019889
"822",0.089084315019089
"824",0.105584809922807
"825",0.0967168646347548
"826",0.0995071127860312
"827",0.127732980301013
"829",0.116443502031338
"830",0.100887421335936
"831",0.0884561078431134
"832",0.108530024937756
"833",0.094086131186189
"834",0.0960105431339854
"835",0.0928598093324006
"836",0.115232908712582
"837",0.0930542312545535
"838",0.0819764360084112
"839",0.0941808697447591
"840",0.0838733880425751
"841",0.0731781783340825
"842",0.107542692549811
"843",0.0901437184555518
"844",0.0982396222198261
"845",0.088505838372354
"846",0.0902589514330237
"847",0.0922471911252548
"848",0.170447046070708
"849",0.0949414311894985
"850",0.105328422003004
"851",0.0981421587721855
"852",0.141251632695478
"853",0.101110997388145
"854",0.0952417563845959
"855",0.0841923011791505
"856",0.115380463759138
"857",0.124457786298375
"858",0.0995324606589335
"859",0.104118211638119
"860",0.108179943093425
"861",0.101935890313369
"862",0.152947197478127
"863",0.10911944183148
"864",0.0946964269143835
"865",0.164090719617889
"867",0.106971113175249
"868",0.0974270431024303
"869",0.0980881383920539
"870",0.108431970070366
"871",0.0813653651829258
"872",0.138204758187623
"873",0.103787726157788
"874",0.0893252477737576
"875",0.0915703840506001
"876",0.133599298338625
"877",0.0964067372132544
"878",0.0794815971819275
"879",0.126801148594739
