Fishnet_ID,MaizeError
19456,-0.366102821
19502,0.146796124
19559,0.019939499
19566,0.506921183
19569,-0.218141
19602,0.146920794
19611,-0.050799023
19616,-0.039146926
19696,0.05934572
19723,0.042835508
19739,-0.086350259
19788,0.407618271
19790,-0.045962297
19797,-0.028997917
19825,-0.049308044
19826,0.015050837
19833,-0.096040012
19840,0.240194011
19998,0.480638454
20018,-0.094781189
20034,-0.288056456
20095,-0.135405156
20099,0.152273184
20166,0.379585547
20204,-0.044180597
20241,-0.248464368
20242,0.001455821
20293,-0.041779591
20309,0.128036482
20391,-0.20317833
20481,-0.083427882
20505,-0.033651396
20548,0.144280628
20572,0.865635292
20586,-0.204349136
20594,-0.144608987
20600,-0.309892802
20678,1.391459093
20708,0.556976707
20764,0.070634346
20767,-0.025240944
20839,-0.088336795
20866,-0.308150832
20898,-0.141194293
20959,-0.053422309
20996,0.19307665
21080,0.288484917
21111,-0.059926215
21303,-0.253483276
21367,0.099154069
21400,0.797536088
21450,0.381273431
21460,0.928840774
21461,0.672638713
21520,0.515244655
21584,-0.24446084
21585,-0.11595213
21591,-0.095111874
21598,-0.210250649
21602,-0.331054462
21649,0.301037736
21664,-0.157856099
21716,-0.563568594
21856,-0.110930243
13635,-0.199265635
13674,-0.279663955
14355,-0.053150919
14993,-0.06678943
15271,0.023965567
15456,0.027217686
15571,0.071047746
15764,-0.155405117
16231,-0.046201987
16304,-0.224422917
16880,0.527390308
16982,0.018623177
17174,-0.050632111
17433,0.188764319
17457,0.093511967
17517,0.064996901
17568,0.396440799
17919,0.071899802
18045,0.172609534
18446,0.075735524
18818,-0.193876889
18904,-0.189151693
19226,-0.102872592
19312,-0.060985207
19619,0.607598016
19791,-0.591455773
19813,0.330931737
19967,-0.162133509
20028,-0.027896554
20406,0.214430444
20521,-0.072756575
20583,-0.047695764
20763,0.533097635
21131,-0.013674867
21187,0.205615643
21408,-0.191320172
21506,-0.007142532
21511,0.064250004
21777,0.246942445
21800,0.360162279
21808,0.366496753
21870,-0.171032569
21876,0.0081481
21877,0.27355894
21926,-0.067651217
21975,-0.062599376
21988,0.007463861
22003,-0.075949044
22039,-0.08737058
22084,-0.098541756
22121,0.808955959
22149,-0.102496939
22197,-0.009652876
22322,-0.408002593
22358,0.003947455
22369,-0.200712274
22371,0.73572961
22381,-0.09428161
22394,-0.116283318
22457,0.216289972
22593,0.100991026
22601,0.1924959
22646,-0.11647205
22653,0.261218854
22815,0.178779162
22840,-0.292167143
22858,0.040952077
22874,-0.08210458
22875,-0.208928413
22906,-0.107156161
22927,0.079803004
22964,0.121419922
23031,-0.196794286
23037,-0.110613687
23166,-0.072571659
23173,-0.077383262
23358,-0.399987573
23376,-0.309798963
23399,-0.260728863
23493,-0.072662633
23661,0.168742477
23702,-0.001945537
23809,-0.257885627
23831,0.571288107
23885,0.017914952
23948,0.03765128
23980,-0.084418898
24009,-0.029735248
24045,0.035147741
24046,-0.174849134
24116,0.412968597
24121,0.066921409
24249,-0.162100704
24288,-0.107396857
24331,-0.035670608
24391,-0.082861794
24392,-0.304835358
24424,-0.208759679
24438,-0.287084722
24524,0.27199561
24556,0.27625935
24638,0.072254555
24683,-0.018397623
24695,-0.090915006
24750,-0.133957983
24775,-0.264500156
24849,-0.253558962
24858,0.542461488
24948,-0.052979884
24952,-0.314394465
25072,0.828551153
25082,-0.360784752
25115,0.017394242
25228,0.033827864
25247,0.10291833
25321,0.559499757
25373,-0.288106414
25388,0.132217204
25436,-0.237149476
25445,0.020291109
25467,-0.567656704
25497,-0.252067181
25521,0.346554037
25524,0.032422981
25533,-0.205583851
25550,-0.050926559
25557,0.091822734
25602,-0.080335371
25619,0.225855196
25649,-0.022470657
25822,0.283499693
25910,0.13426404
25938,0.110312549
25998,0.306979299
26030,0.009813004
26047,0.059111715
26058,0.414173449
26073,-0.392128377
26101,-0.290138707
26125,0.200246233
26168,-0.110843545
26170,-0.337795185
26217,0.070183244
26239,-0.043882348
26262,0.010345382
26266,0.028715195
26307,0.123146034
26342,-0.395656697
26345,-0.424987019
26379,-0.071025296
26437,0.136689045
26466,0.061112886
26474,-0.038935151
26515,0.048813797
26534,-0.234928017
26567,0.108860754
26582,-0.048435954
26631,-0.029503258
26663,0.193839969
26685,0.049657875
26733,-0.077888668
26734,-0.046375927
26829,-0.279505944
26857,-0.352695402
26883,0.123458928
26970,-0.102057557
27092,-0.048396305
27108,-0.219493807
27112,-0.022999384
27114,0.762852981
27131,-0.004605007
27167,-0.123348479
27172,0.292914962
