"","mean_rapes","rapeseed_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"5785",0.251179806921063,1.24714651193575,3.33487843404016,5.32502074550366,2.15110341514852
"5818",0.0655730516365434,1.87204492699805,4.37324138608759,5.43420630841758,2.70970900163977
"5941",0.395630812245526,1.83372984237676,3.58078294659351,5.98977763964001,2.86831024253563
"6036",0.126801733351849,1.78049926537373,2.65874601931954,5.50520154772776,2.81976713561194
"6069",0.353313628660467,1.9629850976383,3.82053390533369,5.19781516944518,2.43261620202344
"6130",0.577491796505336,2.54583143215228,3.80950249718057,5.78923793550226,2.24830905176763
"6229",0.344517021104218,2.21792500153422,2.99627669770714,6.95136909386879,2.67537184573491
"6273",0.402831805647537,2.00228296855232,3.58078294659351,5.98977763964001,2.80473760766868
"6585",0.351597223610134,1.83507102182853,3.80950249718057,5.78923793550226,3.00026489051585
"6673",0.00475115559100102,1.22628373975226,3.80950249718057,5.78923793550226,2.16179566780541
"6752",0.296165007455703,2.00595165673583,2.65874601931954,5.50520154772776,2.73294393879247
"6946",0.316408144270694,2.00375522404704,4.33107201983724,5.36316241230006,2.42398175588789
"7154",0.236998857291527,2.17008631421529,4.4240457227584,3.96189547366785,2.58034107301243
"7188",0.0147904638015778,0.915227190321798,3.17598650936112,4.50851625226694,2.4011440081076
"7233",0.235767155136681,1.92362638165958,2.65874601931954,5.50520154772776,2.59392527338453
"7234",0.126017823591079,2.17298691035134,2.61998209528875,4.35812528527665,2.92853910580869
"7306",0.23078056581213,1.21676488617272,3.33487843404016,5.32502074550366,2.2897561281969
"7388",0.23363057788204,1.27540386530997,2.91918067636586,5.28195781643865,2.59854299723964
"7447",0.470143100865762,2.38726150860658,3.80950249718057,5.78923793550226,2.14909075597367
"7480",0.111640510360751,0.757242097118656,3.17598650936112,4.50851625226694,2.08006358684664
"7549",0.434536791560078,2.05688411099397,3.74727443427803,4.61162773146829,2.66448247662729
"7593",0.302748946967937,2.21703003728761,2.99627669770714,6.95136909386879,2.55240745690115
"7638",0.284049429214833,2.1145381270565,2.65874601931954,5.50520154772776,2.71096814833284
"7662",0.16133658004226,1.33433881579282,4.33107201983724,5.36316241230006,2.34008984904644
"7805",0.0694214112260509,1.2758811866197,3.80950249718057,5.78923793550226,2.67235628964493
"7809",0.300587417849277,1.85774459536133,4.37324138608759,5.43420630841758,2.45121972198677
"7828",0.0606978388430222,1.25265227721242,3.33487843404016,5.32502074550366,2.63515749649141
"7882",0.254474926284193,1.44189500944771,4.33107201983724,5.36316241230006,2.72982021225985
"8056",0.298292298297804,1.33258330044158,4.33107201983724,5.36316241230006,2.27918876582251
"8094",0.276272915546834,2.3178946414365,4.55253120853509,6.47257508985315,2.66555865710791
"8206",0.19340290918316,1.41150661997961,3.80950249718057,5.78923793550226,2.90414535763518
"8212",0.389564751883963,1.83872529085817,3.58078294659351,5.98977763964001,2.92502647146572
"8395",0.00475115559100102,1.22569415171636,3.80950249718057,5.78923793550226,2.76951359324707
"8556",0.209382603171604,2.1225563771611,4.21124915324027,4.37781602917206,2.86920377198184
"8699",0.401818140369504,2.0498376889186,3.58078294659351,5.98977763964001,2.87122186126873
"8759",0.548699589068593,2.42633409749743,4.4645225202218,5.3694440804306,2.68800113292565
"9043",0.0566326504624512,1.24963012085948,3.33487843404016,5.32502074550366,2.33544596013506
"9242",0.432420583984905,1.98841169587454,4.37324138608759,5.43420630841758,2.44546519792324
"9286",0.547179651697963,2.54643304469855,3.69928062050879,4.98465330797233,2.59560118726503
"9368",0.456935117362691,1.84149831717207,3.5953428256262,5.33782451404581,2.62590624716546
"9452",0.283142457134868,1.94073150990914,3.82053390533369,5.19781516944518,2.17743342774339
"9522",0.276272915546834,2.31727073754639,4.55253120853509,6.47257508985315,2.52838099709308
"9585",0.202129944132839,0.800281327665921,3.17598650936112,4.50851625226694,2.5242337993653
"9598",0.369468058779285,1.81973742353049,3.58078294659351,5.98977763964001,2.91831123356298
"9633",0.365487994625086,1.50636224889851,3.80950249718057,5.78923793550226,2.81111199679602
"9702",0.378439521082742,2.04912516640033,3.58078294659351,5.98977763964001,2.86256615210112
"9730",0.603898010312629,2.41797941588714,4.39150652613484,5.83682522770016,2.76709178658647
"10009",0.265185500354612,1.28724713136381,3.33487843404016,5.32502074550366,2.23145138510747
"10031",0.217483939739357,1.26184172484299,2.91491025581416,4.33380987485523,2.4611929253829
"10155",0.473035038816634,2.18165262296878,3.16927450599899,0,2.58769760515206
"10290",0.30794959957184,1.9746884999814,3.82053390533369,5.19781516944518,2.5624097088151
"10367",0.27571774875972,2.14519919249139,4.4240457227584,3.96189547366785,2.58238806909776
"10452",0.182794950386863,1.74339579819477,3.58078294659351,5.98977763964001,2.98453802858411
"10460",0.487256261939972,1.7490554123213,3.5953428256262,5.33782451404581,2.70599599969174
"10505",0.344405561320875,2.31450812997147,2.99627669770714,6.95136909386879,2.86385548605968
"10537",0.135032217517505,2.1967916965552,2.99627669770714,6.95136909386879,2.07166287696574
"10592",0.439973484459789,1.91283739007354,4.37324138608759,5.43420630841758,2.80892399970844
"10604",0.28143135942622,2.38794483345191,2.99627669770714,6.95136909386879,2.91240869952504
"10642",0.507000348034286,2.44689401872078,4.43130692560771,4.3730775921749,2.70892144039987
"10819",0.34734481016042,1.83503580693146,3.58078294659351,5.98977763964001,2.88628252548793
"10902",0.160431472543434,2.33483799527204,2.99627669770714,6.95136909386879,1.81080038533791
"11003",0.162599541436952,2.06793566539372,4.21124915324027,4.37781602917206,2.86222369400539
"11085",0.175315540682074,1.8715015229645,3.82053390533369,5.19781516944518,2.93801313412622
"11152",0.287108263533018,1.38418725709953,2.91918067636586,5.28195781643865,2.52366906213593
"11226",0.0152263524393511,1.79457722674053,2.98847132047518,4.4215710245264,2.9428580832626
"11260",0.274446507628272,1.30136269172923,3.33487843404016,5.32502074550366,2.31398641910992
"11267",0.356238391754606,1.48992350705094,3.80950249718057,5.78923793550226,2.81401360618071
