Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
209,61998,1,5885996306,0.019533686,0.019533686,0,0.019533686,0,0.019533686
210,39195,1,5885996306,0.01953355,0.01953355,0,0.01953355,0,0.01953355
211,70907,1,5885996306,0.019532621,0.019532621,0,0.019532621,0,0.019532621
212,59998,2,11771992612,0.019491605,0.01957055,7.89445E-05,0.019531078,3.94722E-05,0.039062155
213,63806,1,5885996306,0.019529536,0.019529536,0,0.019529536,0,0.019529536
214,69806,1,5885996306,0.019528423,0.019528423,0,0.019528423,0,0.019528423
215,68527,2,11771992612,0.019526403,0.019527579,1.17533E-06,0.019526991,5.87665E-07,0.039053982
216,66435,1,5885996306,0.019524775,0.019524775,0,0.019524775,0,0.019524775
217,61230,2,11771992612,0.019505234,0.019537566,3.23318E-05,0.0195214,1.61659E-05,0.039042801
218,54340,1,5885996306,0.019520344,0.019520344,0,0.019520344,0,0.019520344
219,58921,2,11771992612,0.019511471,0.019526862,1.5391E-05,0.019519166,7.69552E-06,0.039038332
220,70352,1,5885996306,0.019514037,0.019514037,0,0.019514037,0,0.019514037
221,58443,1,5885996306,0.019511735,0.019511735,0,0.019511735,0,0.019511735
222,61726,1,5885996306,0.01951047,0.01951047,0,0.01951047,0,0.01951047
223,71572,1,5885996306,0.01950503,0.01950503,0,0.01950503,0,0.01950503
224,66498,1,5885996306,0.019501762,0.019501762,0,0.019501762,0,0.019501762
225,55860,2,11771992612,0.019460134,0.019542322,8.21874E-05,0.019501228,4.10937E-05,0.039002456
226,66556,1,5885996306,0.01949851,0.01949851,0,0.01949851,0,0.01949851
227,71286,1,5885996306,0.019496266,0.019496266,0,0.019496266,0,0.019496266
228,60183,2,11771992612,0.019467995,0.019520961,5.29662E-05,0.019494478,2.64831E-05,0.038988955
229,55554,1,5885996306,0.019491246,0.019491246,0,0.019491246,0,0.019491246
230,52664,1,5885996306,0.019487398,0.019487398,0,0.019487398,0,0.019487398
231,72596,1,5885996306,0.019486511,0.019486511,0,0.019486511,0,0.019486511
232,64637,1,5885996306,0.019482624,0.019482624,0,0.019482624,0,0.019482624
233,57267,2,11771992612,0.01945466,0.019507041,5.23813E-05,0.019480851,2.61907E-05,0.038961701
234,77018,1,5885996306,0.019474734,0.019474734,0,0.019474734,0,0.019474734
235,67523,2,11771992612,0.019435786,0.019512726,7.69403E-05,0.019474256,3.84701E-05,0.038948512
236,58240,2,11771992612,0.019470882,0.019475788,4.90621E-06,0.019473335,2.4531E-06,0.03894667
237,41047,1,5885996306,0.019471182,0.019471182,0,0.019471182,0,0.019471182
238,40112,2,11771992612,0.019448627,0.019490512,4.18853E-05,0.019469569,2.09427E-05,0.038939139
239,34091,1,5885996306,0.019466128,0.019466128,0,0.019466128,0,0.019466128
240,72710,1,5885996306,0.019464757,0.019464757,0,0.019464757,0,0.019464757
241,64965,1,5885996306,0.019460475,0.019460475,0,0.019460475,0,0.019460475
242,50535,1,5885996306,0.019460073,0.019460073,0,0.019460073,0,0.019460073
243,66007,1,5885996306,0.019455053,0.019455053,0,0.019455053,0,0.019455053
244,28568,2,11771992612,0.01943158,0.019474478,4.28986E-05,0.019453029,2.14493E-05,0.038906058
245,13947,1,5885996306,0.019451519,0.019451519,0,0.019451519,0,0.019451519
246,51905,1,5885996306,0.019451501,0.019451501,0,0.019451501,0,0.019451501
247,51167,2,11771992612,0.019429445,0.019471128,4.16823E-05,0.019450286,2.08411E-05,0.038900573
248,37240,1,5885996306,0.019448712,0.019448712,0,0.019448712,0,0.019448712
249,51379,2,11771992612,0.019413745,0.019482162,6.84168E-05,0.019447953,3.42084E-05,0.038895907
250,61881,1,5885996306,0.019444348,0.019444348,0,0.019444348,0,0.019444348
251,60106,1,5885996306,0.019440562,0.019440562,0,0.019440562,0,0.019440562
252,71525,1,5885996306,0.019432101,0.019432101,0,0.019432101,0,0.019432101
253,68138,2,11771992612,0.019398715,0.019464241,6.5526E-05,0.019431478,3.2763E-05,0.038862957
